"","ID89","oblast_center","CityStatus","RaionCenter","year","mp","pop","smp","spop","Soviet","pop_log_lag","pop_log","log_mp","soviet_true"
"1",6,1,1,0,"1897",12469.55297,12522,88.94461337,89.0237987,TRUE,NA,9.43524237630526,9.43104518959526,9.43104518959526
"2",6,1,1,0,"1926",20188.99521,26344,98.2654465,103.611956,TRUE,9.43524237630526,10.1789958240562,9.91289294335228,9.91289294335228
"3",6,1,1,0,"1939",43023.3891,69723,113.8382127,124.3734725,TRUE,10.1789958240562,11.1522855279681,10.6694991793561,10.6694991793561
"4",6,1,1,0,"1959",58664.87125,136294,120.5515367,139.7731519,TRUE,11.1522855279681,11.8225695961728,10.9795963811907,10.9795963811907
"5",6,1,1,0,"1970",74501.47357,192000,125.8564067,147.9933234,TRUE,11.8225695961728,12.1652506510099,11.2185741836351,11.2185741836351
"6",6,1,1,0,"1979",87887.14504,234100,129.5911034,152.8562226,TRUE,12.1652506510099,12.363503653479,11.3838088276997,11.3838088276997
"7",6,1,1,0,"1989",111983.0228,269485,135.1662607,156.3567184,TRUE,12.363503653479,12.5042680091551,11.6261025566446,11.6261025566446
"8",6,1,1,0,"2002",109624.0164,266160,134.6716559,156.0463891,FALSE,12.5042680091551,12.4918529106924,11.6048117572283,0
"9",6,1,1,0,"2010",102032.1389,263540,133.0110838,155.7993364,FALSE,12.4918529106924,12.4819604380992,11.5330431298917,0
"10",8,0,1,0,"1897",8175.21833,NA,81.15960719,0,TRUE,NA,NA,9.00886270244247,9.00886270244247
"11",8,0,1,0,"1926",13509.87759,NA,90.46247594,0,TRUE,NA,NA,9.51117637021741,9.51117637021741
"12",8,0,1,0,"1939",29156.47006,NA,105.6872847,0,TRUE,NA,NA,10.2804321246111,10.2804321246111
"13",8,0,1,0,"1959",41289.87834,NA,112.9623057,0,TRUE,NA,NA,10.6283726723997,10.6283726723997
"14",8,0,1,0,"1970",52873.1446,NA,118.2797809,0,TRUE,NA,NA,10.8756508254256,10.8756508254256
"15",8,0,1,0,"1979",62486.02224,4400,121.9411828,70.38135819,TRUE,NA,8.38935981990635,11.0426981665524,11.0426981665524
"16",8,0,1,0,"1989",80496.09891,30432,127.5988027,106.5694898,TRUE,8.38935981990635,10.3232499653451,11.2959640014871,11.2959640014871
"17",8,0,1,0,"2002",78466.4716,29746,127.022518,106.0992691,FALSE,10.3232499653451,10.3004499481525,11.2704266991558,0
"18",8,0,1,0,"2010",72911.87715,28993,125.3729619,105.5717144,FALSE,10.3004499481525,10.2748097005216,11.1970068285944,0
"19",10,0,1,0,"1897",14388.69825,2041,91.66527374,58.08261571,TRUE,NA,7.62119516280984,9.57419833366299,9.57419833366299
"20",10,0,1,0,"1926",22170.24704,4732,100.1301712,71.60719099,TRUE,7.62119516280984,8.46210322509828,10.0065064455343,10.0065064455343
"21",10,0,1,0,"1939",46662.63678,4577,115.5775302,71.04465327,TRUE,8.46210322509828,8.42879904065364,10.7506990544803,10.7506990544803
"22",10,0,1,0,"1959",61054.38345,17611,121.4298272,95.57563081,TRUE,8.42879904065364,9.77627898579509,11.0195202779441,11.0195202779441
"23",10,0,1,0,"1970",76513.24804,22200,126.4549544,100.1570129,TRUE,9.77627898579509,10.0078475678604,11.2452191818147,11.2452191818147
"24",10,0,1,0,"1979",90301.52686,21600,130.208859,99.60935413,TRUE,10.0078475678604,9.98044859367226,11.4109096480107,11.4109096480107
"25",10,0,1,0,"1989",114014.5762,29708,135.5846358,106.0729367,TRUE,9.98044859367226,10.2991716487892,11.6440815806066,11.6440815806066
"26",10,0,1,0,"2002",111193.4526,27527,135.0017833,104.5081469,FALSE,10.2991716487892,10.2229226201683,11.6190267795688,0
"27",10,0,1,0,"2010",104420.354,32269,133.5452938,107.7830647,FALSE,10.2229226201683,10.3818622960316,11.5561798971139,0
"28",15,0,1,1,"1897",8592.512011,NA,82.05907472,0,TRUE,NA,NA,9.05864640656997,9.05864640656997
"29",15,0,1,1,"1926",14416.26459,6114,91.70192742,76.00939137,TRUE,NA,8.71833650245078,9.57611233359201,9.57611233359201
"30",15,0,1,1,"1939",31461.93916,10457,107.2577926,85.65552273,TRUE,8.71833650245078,9.25502688959859,10.3565338136192,10.3565338136192
"31",15,0,1,1,"1959",44953.61107,14800,114.7766476,92.2057489,TRUE,9.25502688959859,9.60238245975221,10.7133863719345,10.7133863719345
"32",15,0,1,1,"1970",57757.28833,16600,120.2094018,94.4231591,TRUE,9.60238245975221,9.71715797434464,10.9640048252694,10.9640048252694
"33",15,0,1,1,"1979",68240.7633,18100,123.89465,96.11189091,TRUE,9.71715797434464,9.80366721725392,11.1307973676247,11.1307973676247
"34",15,0,1,1,"1989",87872.74137,18935,129.5873718,96.99821812,TRUE,9.80366721725392,9.8487673403359,11.383644926023,11.383644926023
"35",15,0,1,1,"2002",85533.37867,13103,128.9737712,89.88170982,FALSE,9.8487673403359,9.48059649060458,11.3566619725422,0
"36",15,0,1,1,"2010",79383.79514,11217,127.2846417,86.95908953,FALSE,9.48059649060458,9.32518576364522,11.28204953497,0
"37",21,0,0,1,"1897",7847.329796,NA,80.42374337,0,TRUE,NA,NA,8.96792859953538,8.96792859953538
"38",21,0,0,1,"1926",13053.79902,NA,89.81039181,0,TRUE,NA,NA,9.47683448302945,9.47683448302945
"39",21,0,0,1,"1939",28322.88793,NA,105.0917251,0,TRUE,NA,NA,10.2514255175379,10.2514255175379
"40",21,0,0,1,"1959",40401.42463,NA,112.5003948,0,TRUE,NA,NA,10.6066203264463,10.6066203264463
"41",21,0,0,1,"1970",51820.55223,NA,117.8427945,0,TRUE,NA,NA,10.8555421107556,10.8555421107556
"42",21,0,0,1,"1979",61337.79972,NA,121.5319178,0,TRUE,NA,NA,11.0241515667934,11.0241515667934
"43",21,0,0,1,"1989",79594.31942,5150,127.3444091,73.04696964,TRUE,NA,8.54675199365778,11.2846980052156,11.2846980052156
"44",21,0,0,1,"2002",77458.23936,5578,126.7311762,74.41797857,FALSE,8.54675199365778,8.62658556818743,11.2574942231435,0
"45",21,0,0,1,"2010",71946.85659,4528,125.0747659,70.8633237,FALSE,8.62658556818743,8.41803561988302,11.1836830225495,0
"46",24,0,1,1,"1897",8160.901128,2447,81.12802829,60.88084864,TRUE,NA,7.80261806344267,9.00710987421389,9.00710987421389
"47",24,0,1,1,"1926",13801.86455,6589,90.8696806,77.31960776,TRUE,7.80261806344267,8.79315687091382,9.53255897433729,9.53255897433729
"48",24,0,1,1,"1939",30082.57344,16624,106.3311843,94.4512387,TRUE,8.79315687091382,9.71860271333901,10.3117013275958,10.3117013275958
"49",24,0,1,1,"1959",43242.08494,18127,113.9464338,96.14111984,TRUE,9.71860271333901,9.80515781846292,10.6745694884445,10.6745694884445
"50",24,0,1,1,"1970",55587.59581,21000,119.3712561,99.04783175,TRUE,9.80515781846292,9.95227771670556,10.9257153584064,10.9257153584064
"51",24,0,1,1,"1979",65736.18442,21000,123.0636302,99.04783175,TRUE,9.95227771670556,9.95227771670556,11.0934048050714,11.0934048050714
"52",24,0,1,1,"1989",84894.24522,18522,128.8034687,96.56431774,TRUE,9.95227771670556,9.82671449373021,11.3491615869632,11.3491615869632
"53",24,0,1,1,"2002",82512.70654,14620,128.1584201,91.97089519,FALSE,9.82671449373021,9.59014573330377,11.3207075791298,0
"54",24,0,1,1,"2010",76547.95599,13061,126.4651545,89.82084482,FALSE,9.59014573330377,9.47738596957752,11.2456726990964,0
"55",28,0,1,1,"1897",11967.62385,NA,88.17135387,0,TRUE,NA,NA,9.38996027007462,9.38996027007462
"56",28,0,1,1,"1926",19536.3541,2606,97.61503868,61.86721908,TRUE,NA,7.86557175768479,9.8800323216981,9.8800323216981
"57",28,0,1,1,"1939",41864.70969,13374,113.2563889,90.27028939,TRUE,7.86557175768479,9.50106780261392,10.6421985001824,10.6421985001824
"58",28,0,1,1,"1959",58368.30188,16060,120.4402702,93.78154078,TRUE,9.50106780261392,9.68408698750075,10.9745282454327,10.9745282454327
"59",28,0,1,1,"1970",74488.29595,27900,125.8524378,104.7835158,TRUE,9.68408698750075,10.2363819678095,11.2183972906837,11.2183972906837
"60",28,0,1,1,"1979",88011.72078,35200,129.6233546,109.5958019,TRUE,10.2363819678095,10.4688013615862,11.3852252752731,11.3852252752731
"61",28,0,1,1,"1989",111848.8274,36365,135.138381,110.278605,TRUE,10.4688013615862,10.5013620525886,11.6249034831798,11.6249034831798
"62",28,0,1,1,"2002",109478.4383,34863,134.6408154,109.394475,FALSE,10.5013620525886,10.459181373891,11.603482898347,0
"63",28,0,1,1,"2010",102200.4879,32978,133.0491133,108.2348087,FALSE,10.459181373891,10.4035959514609,11.5346917307129,0
"64",31,0,1,1,"1897",15397.41578,NA,92.9672956,0,TRUE,NA,NA,9.64195496782713,9.64195496782713
"65",31,0,1,1,"1926",23502.44434,NA,101.301401,0,TRUE,NA,NA,10.0648597091912,10.0648597091912
"66",31,0,1,1,"1939",49127.44621,NA,116.6869446,0,TRUE,NA,NA,10.8021731435552,10.8021731435552
"67",31,0,1,1,"1959",63560.63615,7800,122.3180619,80.31527544,TRUE,NA,8.96187901267768,11.0597496292538,11.0597496292538
"68",31,0,1,1,"1970",79257.85978,7900,127.2488199,80.54376894,TRUE,8.96187901267768,8.97461803845511,11.2804618638565,11.2804618638565
"69",31,0,1,1,"1979",93359.62893,9500,130.9700408,83.88814337,TRUE,8.97461803845511,9.15904707758863,11.4442142923381,11.4442142923381
"70",31,0,1,1,"1989",117672.4907,10429,136.3210491,85.60590033,TRUE,9.15904707758863,9.25234566612121,11.6756605420564,11.6756605420564
"71",31,0,1,1,"2002",114676.8886,8751,135.7195593,82.39053584,FALSE,9.25234566612121,9.07692325853583,11.6498737884817,0
"72",31,0,1,1,"2010",108234.6509,7818,134.3757819,80.35659562,FALSE,9.07692325853583,8.9641840463529,11.5920568427396,0
"73",34,0,0,1,"1897",7271.632573,NA,79.06297102,0,TRUE,NA,NA,8.89173610831569,8.89173610831569
"74",34,0,0,1,"1926",12273.00271,NA,88.64518562,0,TRUE,NA,NA,9.41515722740739,9.41515722740739
"75",34,0,0,1,"1939",27073.99716,NA,104.1691523,0,TRUE,NA,NA,10.206329031848,10.206329031848
"76",34,0,0,1,"1959",39263.47488,NA,111.8951412,0,TRUE,NA,NA,10.5780499733381,10.5780499733381
"77",34,0,0,1,"1970",50535.28294,NA,117.2981499,0,TRUE,NA,NA,10.8304270433849,10.8304270433849
"78",34,0,0,1,"1979",59783.67504,NA,120.9667363,0,TRUE,NA,NA,10.9984879100273,10.9984879100273
"79",34,0,0,1,"1989",77855.48656,6405,126.8463761,76.8223188,TRUE,NA,8.76483421433083,11.2626096508225,11.2626096508225
"80",34,0,0,1,"2002",75332.65079,5920,126.1054643,75.44818951,FALSE,8.76483421433083,8.68609172787805,11.2296689292355,0
"81",34,0,0,1,"2010",69799.94295,4778,124.3980744,71.77101109,FALSE,8.68609172787805,8.47177732788576,11.1533884714149,0
"82",37,0,0,0,"1897",7391.733694,NA,79.35455893,0,TRUE,NA,NA,8.90811758642797,8.90811758642797
"83",37,0,0,0,"1926",12359.12337,NA,88.77690692,0,TRUE,NA,NA,9.42214980373912,9.42214980373912
"84",37,0,0,0,"1939",26987.92026,NA,104.1041607,0,TRUE,NA,NA,10.2031446470964,10.2031446470964
"85",37,0,0,0,"1959",38801.5592,NA,111.6449144,0,TRUE,NA,NA,10.566215710371,10.566215710371
"86",37,0,0,0,"1970",49850.29508,NA,117.002723,0,TRUE,NA,NA,10.8167796947305,10.8167796947305
"87",37,0,0,0,"1979",58987.49669,NA,120.6719997,0,TRUE,NA,NA,10.9850807799211,10.9850807799211
"88",37,0,0,0,"1989",76605.87028,2632,126.482165,62.02348911,TRUE,NA,7.87549929244521,11.2464289883015,11.2464289883015
"89",37,0,0,0,"2002",74390.19186,2603,125.8228699,61.84910044,FALSE,7.87549929244521,7.86441990499457,11.2170793822922,0
"90",37,0,0,0,"2010",69019.66296,2099,124.1474334,58.51051031,FALSE,7.86441990499457,7.64921631982063,11.1421467134178,0
"91",39,0,0,0,"1897",7125.842563,NA,78.7032151,0,TRUE,NA,NA,8.87148325260148,8.87148325260148
"92",39,0,0,0,"1926",12048.55989,NA,88.2979788,0,TRUE,NA,NA,9.39670042057345,9.39670042057345
"93",39,0,0,0,"1939",26699.2539,NA,103.8848323,0,TRUE,NA,NA,10.1923909001777,10.1923909001777
"94",39,0,0,0,"1959",38849.47654,NA,111.670997,0,TRUE,NA,NA,10.5674498818311,10.5674498818311
"95",39,0,0,0,"1970",50027.4968,NA,117.0794995,0,TRUE,NA,NA,10.8203280692509,10.8203280692509
"96",39,0,0,0,"1979",59188.83786,NA,120.7468741,0,TRUE,NA,NA,10.9884882534322,10.9884882534322
"97",39,0,0,0,"1989",77256.17811,5214,126.6723726,73.25823722,TRUE,NA,8.55910259449345,11.2548821670961,11.2548821670961
"98",39,0,0,0,"2002",74651.20462,4061,125.9014591,69.04254752,FALSE,8.55910259449345,8.3091845276863,11.2205819397427,0
"99",39,0,0,0,"2010",69152.42543,2923,124.1902608,63.68623774,FALSE,8.3091845276863,7.98036576511125,11.1440684113874,0
"100",41,0,1,1,"1897",10640.65566,NA,85.97809502,0,TRUE,NA,NA,9.27243738317752,9.27243738317752
"101",41,0,1,1,"1926",17510.1431,2092,95.46336586,58.45941713,TRUE,NA,7.64587582518481,9.77053559771938,9.77053559771938
"102",41,0,1,1,"1939",37438.51883,12108,110.8904903,88.39049003,TRUE,7.64587582518481,9.40162167014161,10.5304553686444,10.5304553686444
"103",41,0,1,1,"1959",52473.8925,15824,118.1149681,93.49503478,TRUE,9.40162167014161,9.66928305386249,10.8680710391779,10.8680710391779
"104",41,0,1,1,"1970",67142.42694,17500,123.5336978,95.45204337,TRUE,9.66928305386249,9.76995615991161,11.1145714173338,11.1145714173338
"105",41,0,1,1,"1979",79332.9528,20300,127.270186,98.37418575,TRUE,9.76995615991161,9.91837616502988,11.2814088673353,11.2814088673353
"106",41,0,1,1,"1989",102470.5708,20373,133.1100048,98.44540482,TRUE,9.91837616502988,9.9219657737819,11.5373309221891,11.5373309221891
"107",41,0,1,1,"2002",99939.36892,17283,132.5334881,95.20838938,FALSE,9.9219657737819,9.75747863840049,11.5123189702895,0
"108",41,0,1,1,"2010",93004.24333,15536,130.8827613,93.14016401,FALSE,9.75747863840049,9.65091519053111,11.4404003982988,0
"109",42,0,0,0,"1897",10611.16645,NA,85.92663664,0,TRUE,NA,NA,9.26966216430225,9.26966216430225
"110",42,0,0,0,"1926",17804.91057,NA,95.78986271,0,TRUE,NA,NA,9.78722957295284,9.78722957295284
"111",42,0,0,0,"1939",39192.83678,NA,111.8570487,0,TRUE,NA,NA,10.5762492738764,10.5762492738764
"112",42,0,0,0,"1959",54813.37749,NA,119.064969,0,TRUE,NA,NA,10.911689557926,10.911689557926
"113",42,0,0,0,"1970",69727.33211,NA,124.3748583,0,TRUE,NA,NA,11.1523476591934,11.1523476591934
"114",42,0,0,0,"1979",82328.06672,NA,128.1077033,0,TRUE,NA,NA,11.3184673579325,11.3184673579325
"115",42,0,0,0,"1989",104509.6911,6611,133.5650599,77.37823997,TRUE,NA,8.79649020733358,11.5570350838862,11.5570350838862
"116",42,0,0,0,"2002",101696.1667,5190,132.9350172,73.17928164,FALSE,8.79649020733358,8.55448897615993,11.5297448890942,0
"117",42,0,0,0,"2010",94569.18755,4599,131.2648423,71.12551058,FALSE,8.55448897615993,8.43359416753992,11.4570869889819,0
"118",43,0,0,0,"1897",10592.64915,1294,85.89425889,51.34429674,TRUE,NA,7.16549347506085,9.26791556311907,9.26791556311907
"119",43,0,0,0,"1926",17582.6785,2103,95.54416423,58.53963994,TRUE,7.16549347506085,7.6511201757027,9.77466952027055,9.77466952027055
"120",43,0,0,0,"1939",38223.81049,NA,111.328115,0,TRUE,7.6511201757027,NA,10.5512139116734,10.5512139116734
"121",43,0,0,0,"1959",53616.07522,NA,118.5834799,0,TRUE,NA,NA,10.8896042129155,10.8896042129155
"122",43,0,0,0,"1970",68504.09212,NA,123.980403,0,TRUE,NA,NA,11.1346487614441,11.1346487614441
"123",43,0,0,0,"1979",80918.51346,NA,127.7170744,0,TRUE,NA,NA,11.3011979206236,11.3011979206236
"124",43,0,0,0,"1989",103434.2558,4208,133.3260841,69.63473164,TRUE,NA,8.34474275441755,11.5466914801946,11.5466914801946
"125",43,0,0,0,"2002",100959.0135,2608,132.7673127,61.87928805,FALSE,8.34474275441755,7.86633892304654,11.5224699065308,0
"126",43,0,0,0,"2010",93931.35249,2209,131.1098167,59.29454622,FALSE,7.86633892304654,7.70029520342012,11.450319501799,0
"127",45,0,0,1,"1897",9191.107385,NA,83.28372464,0,TRUE,NA,NA,9.12599170700218,9.12599170700218
"128",45,0,0,1,"1926",15106.6159,NA,92.59997473,0,TRUE,NA,NA,9.62288806592097,9.62288806592097
"129",45,0,0,1,"1939",32488.24099,NA,107.9237057,0,TRUE,NA,NA,10.3886334871544,10.3886334871544
"130",45,0,0,1,"1959",45611.75055,NA,115.0882815,0,TRUE,NA,NA,10.7279206498068,10.7279206498068
"131",45,0,0,1,"1970",58291.24437,NA,120.4112758,0,TRUE,NA,NA,10.9732071787273,10.9732071787273
"132",45,0,0,1,"1979",68900.6165,NA,124.1089668,0,TRUE,NA,NA,11.1404204047121,11.1404204047121
"133",45,0,0,1,"1989",88494.88453,4400,129.7480471,70.38135819,TRUE,NA,8.38935981990635,11.3907000274045,11.3907000274045
"134",45,0,0,1,"2002",86356.29025,4007,129.1913419,68.82026629,FALSE,8.38935981990635,8.29579811063615,11.3662369268974,0
"135",45,0,0,1,"2010",80355.84419,3328,127.5594077,65.77415674,FALSE,8.29579811063615,8.1101268019411,11.2942201026837,0
"136",49,0,1,1,"1897",15977.64954,1246,93.68199801,50.80401747,TRUE,NA,7.1276936993474,9.67894612089231,9.67894612089231
"137",49,0,1,1,"1926",24952.66781,1701,102.5102795,55.33829835,TRUE,7.1276936993474,7.43897159239586,10.124736021716,10.124736021716
"138",49,0,1,1,"1939",52757.24948,3351,118.2320557,65.8859177,TRUE,7.43897159239586,8.11701408773731,10.873456472796,10.873456472796
"139",49,0,1,1,"1959",69180.96954,5000,124.1994589,72.54257986,TRUE,8.11701408773731,8.51719319141624,11.1444810971371,11.1444810971371
"140",49,0,1,1,"1970",86763.73859,7800,129.2983687,80.31527544,TRUE,8.51719319141624,8.96187901267768,11.3709440551835,11.3709440551835
"141",49,0,1,1,"1979",102295.7481,10400,133.070607,85.55438027,TRUE,8.96187901267768,9.24956108512946,11.5356233880261,11.5356233880261
"142",49,0,1,1,"1989",129042.7971,11888,138.483456,88.04603302,TRUE,9.24956108512946,9.38328476695754,11.7678993887886,11.7678993887886
"143",49,0,1,1,"2002",126038.8085,10240,137.9296428,85.26780681,FALSE,9.38328476695754,9.2340568985935,11.7443451424784,0
"144",49,0,1,1,"2010",118270.0512,9060,136.4393566,83.02169919,FALSE,9.2340568985935,9.11162439903702,11.6807258581528,0
"145",50,0,0,0,"1897",16395.50306,NA,94.18241271,0,TRUE,NA,NA,9.70476237255306,9.70476237255306
"146",50,0,0,0,"1926",25387.17178,NA,102.8601493,0,TRUE,NA,NA,10.1419992773954,10.1419992773954
"147",50,0,0,0,"1939",53556.98216,NA,118.5594639,0,TRUE,NA,NA,10.8885014531841,10.8885014531841
"148",50,0,0,0,"1959",69819.41608,NA,124.4042969,0,TRUE,NA,NA,11.1536674174043,11.1536674174043
"149",50,0,0,0,"1970",87479.06927,NA,129.4851648,0,TRUE,NA,NA,11.379154835388,11.379154835388
"150",50,0,0,0,"1979",103197.6585,NA,133.2732047,0,TRUE,NA,NA,11.5444014428187,11.5444014428187
"151",50,0,0,0,"1989",129791.6257,3334,138.6196718,65.8033769,TRUE,NA,8.11192806331074,11.7736855642217,11.7736855642217
"152",50,0,0,0,"2002",126619.2634,3204,138.0375896,65.15969132,FALSE,8.11192806331074,8.07215530818825,11.7489399366748,0
"153",50,0,0,0,"2010",119106.291,NA,136.6040044,0,FALSE,8.07215530818825,NA,11.6877715751071,0
"154",52,0,1,1,"1897",14911.5156,NA,92.34996761,0,TRUE,NA,NA,9.60988905249218,9.60988905249218
"155",52,0,1,1,"1926",23051.54784,NA,100.9118331,0,TRUE,NA,NA,10.0454881975802,10.0454881975802
"156",52,0,1,1,"1939",48483.29703,NA,116.4019735,0,TRUE,NA,NA,10.7889746264753,10.7889746264753
"157",52,0,1,1,"1959",63639.7063,NA,122.3455632,0,TRUE,NA,NA,11.0609928674191,11.0609928674191
"158",52,0,1,1,"1970",79583.10464,10300,127.3412289,85.37573675,TRUE,NA,9.23989917421773,11.2845570960372,11.2845570960372
"159",52,0,1,1,"1979",93769.84561,13800,131.0704101,90.86710486,TRUE,9.23989917421773,9.5324238711453,11.4485986079369,11.4485986079369
"160",52,0,1,1,"1989",118442.6712,14361,136.4734308,91.62838125,TRUE,9.5324238711453,9.57227147806062,11.6821843351527,11.6821843351527
"161",52,0,1,1,"2002",115527.1118,13347,135.8917227,90.23189238,FALSE,9.57227147806062,9.49904691947415,11.6572605155974,0
"162",52,0,1,1,"2010",108651.5249,11484,134.4649205,87.39837944,FALSE,9.49904691947415,9.34871004124095,11.5959010205608,0
"163",54,0,0,0,"1897",15127.50158,NA,92.62656655,0,TRUE,NA,NA,9.62426966294202,9.62426966294202
"164",54,0,0,0,"1926",23294.75809,NA,101.122807,0,TRUE,NA,NA,10.0559836395651,10.0559836395651
"165",54,0,0,0,"1939",48792.89192,NA,116.5393641,0,TRUE,NA,NA,10.7953399238551,10.7953399238551
"166",54,0,0,0,"1959",63993.99748,NA,122.4684087,0,TRUE,NA,NA,11.0665445685683,11.0665445685683
"167",54,0,0,0,"1970",80278.73533,NA,127.5377225,0,TRUE,NA,NA,11.2932600495475,11.2932600495475
"168",54,0,0,0,"1979",94554.19619,NA,131.2612096,0,TRUE,NA,NA,11.456928453747,11.456928453747
"169",54,0,0,0,"1989",119095.9153,4416,136.601968,70.44227422,TRUE,NA,8.39298958795693,11.6876844583657,11.6876844583657
"170",54,0,0,0,"2002",116073.636,3668,136.001779,67.36144485,FALSE,8.39298958795693,8.20740183337636,11.661980061796,0
"171",54,0,0,0,"2010",109501.1376,NA,134.6456267,0,FALSE,8.20740183337636,NA,11.6036902172258,0
"172",63,0,0,0,"1897",12856.08269,NA,89.52135113,0,TRUE,NA,NA,9.46157233941284,9.46157233941284
"173",63,0,0,0,"1926",21165.64883,NA,99.2042854,0,TRUE,NA,NA,9.96013480828481,9.96013480828481
"174",63,0,0,0,"1939",45933.03713,NA,115.2389347,0,TRUE,NA,NA,10.7349399003242,10.7349399003242
"175",63,0,0,0,"1959",64794.67377,NA,122.7437687,0,TRUE,NA,NA,11.0789786840548,11.0789786840548
"176",63,0,0,0,"1970",83382.74246,NA,128.3960173,0,TRUE,NA,NA,11.3311966419949,11.3311966419949
"177",63,0,0,0,"1979",98795.82264,NA,132.2686445,0,TRUE,NA,NA,11.5008106018704,11.5008106018704
"178",63,0,0,0,"1989",124169.0388,3594,137.578804,67.02731396,TRUE,NA,8.1870210673435,11.7293991323807,11.7293991323807
"179",63,0,0,0,"2002",121635.0183,3349,137.0955334,65.8762261,FALSE,8.1870210673435,8.1164170727942,11.7087801864969,0
"180",63,0,0,0,"2010",114184.0032,NA,135.6192189,0,FALSE,8.1164170727942,NA,11.6455664893345,0
"181",65,0,0,1,"1897",13362.28896,NA,90.25364351,0,TRUE,NA,NA,9.50019176175676,9.50019176175676
"182",65,0,0,1,"1926",21506.42599,NA,99.52271192,0,TRUE,NA,NA,9.97610705271487,9.97610705271487
"183",65,0,0,1,"1939",45993.66033,NA,115.267254,0,TRUE,NA,NA,10.7362588470603,10.7362588470603
"184",65,0,0,1,"1959",63001.96594,NA,122.1228596,0,TRUE,NA,NA,11.0509212102836,11.0509212102836
"185",65,0,0,1,"1970",80172.04895,NA,127.507688,0,TRUE,NA,NA,11.2919302162756,11.2919302162756
"186",65,0,0,1,"1979",94737.05313,NA,131.3054833,0,TRUE,NA,NA,11.4588604711808,11.4588604711808
"187",65,0,0,1,"1989",119618.5714,4421,136.7043463,70.46127062,TRUE,NA,8.39412119382624,11.6920633877083,11.6920633877083
