,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,mp1926,mp1939,mp1959,mp1970,spop1926,spop1939,spop1959,spop1970,smp1926,smp1939,smp1959,smp1970,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
24,77,Suoiarvi,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.09,32.38,3855.1681,1048.4644,2010.4742,0,0,6700,9400,20184.78082,42866.54907,57885.79482999999,73304.97959,0.0,0.0,77.61368265,83.69441128,98.26130755,113.7602935,120.25814109999999,125.49340320000002,0,0,0,0,1,0,0,0,0
25,82,Syktyvkar,Komi ASSR,Severno-Zapadny,1,1,0,7.0,61.68,50.81,3804.4224,2581.6561,3133.9608,4980,24302,64461,125000,14862.55007,32761.50195,51352.83462,66208.52541,72.47432174,101.9759442,122.6293935,137.73531599999998,92.28676183,108.09780409999999,117.6460289,123.2225326,0,0,0,0,1,0,0,0,0
26,87,Vorkuta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,67.48,64.03,4553.5504,4099.8409,4320.7444,0,0,84125,90000,8637.603405,19311.50673,30742.65972,39771.31045,0.0,0.0,128.59693959999998,130.1325381,82.15392862,97.38643173,106.7792906,112.16718590000002,0,0,0,0,1,0,0,0,0
27,101,Inta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.03,60.17,4359.9609,3620.4289,3973.0251,0,0,45136,50200,9720.048282,21673.821930000002,34701.74675,44824.86208,0.0,0.0,114.8634223,117.15400359999998,84.30812986,99.67746946,109.2975175,114.7152006,0,0,0,0,1,0,0,0,0
28,105,Pechora,Komi ASSR,Severno-Zapadny,0,1,0,1.0,65.14,57.23,4243.2196,3275.2729,3727.9622,0,0,30586,41000,10657.23968,23698.798919999997,37754.930389999994,48777.6155,0.0,0.0,106.6737327,112.8125946,86.00697811,101.46894820000001,111.0678094,116.5326034,0,0,0,0,1,0,0,0,0
29,106,Usinsk,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.01,57.55,4357.3201,3312.0025,3798.8755,0,0,NA,700,10140.52306,22518.3197,36217.14649,46754.06765,0.0,0.0,NA,42.91665356,85.08761566,100.442177,110.19305420000002,115.6196227,0,0,0,0,1,0,0,0,0
31,114,Vuktyl,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.87,57.32,4079.3769,3285.5824,3661.0284,0,0,100,7800,11400.77583,25451.673469999998,40952.69227,52843.01635,0.0,0.0,21.20759244,80.31527544,87.26243939,102.9116264,112.788071,118.26738329999999,0,0,0,0,1,0,0,0,0
32,116,Shchel'iaiur,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.33,53.43,4268.0089,2854.7649,3490.5819,0,0,NA,NA,11246.13632,24773.47829,38940.561239999995,50385.11221,0.0,0.0,NA,NA,87.00747806,102.36439179999999,111.72049640000002,117.23369550000001,0,0,0,0,1,0,0,0,0
33,117,Izhma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.01,53.93,4226.3001,2908.4449,3505.9893,0,0,NA,NA,11352.10928,25081.91059,39610.06541,51269.44229,0.0,0.0,NA,NA,87.1825353,102.614918,112.0811503,117.61077560000001,0,0,0,0,1,0,0,0,0
34,120,Emva,Komi ASSR,Severno-Zapadny,0,1,1,7.0,62.56,50.83,3913.7536,2583.6889,3179.9248,0,0,13700,13500,14005.204,30984.6073,48698.87675,63239.21038,0.0,0.0,90.7285037,90.44856342,91.14872718,106.94136509999998,116.4977263,122.2059456,0,0,0,0,1,0,0,0,0
35,122,Sindor,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.86,51.88,3951.3796,2691.5344,3261.1768,0,0,NA,NA,13443.08479,29778.020439999997,47134.08705,61102.09642,0.0,0.0,NA,NA,90.3682208,106.12143449999999,115.79377790000001,121.44704420000001,0,0,0,0,1,0,0,0,0
