,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,mp1926,mp1939,mp1959,mp1970,spop1926,spop1939,spop1959,spop1970,smp1926,smp1939,smp1959,smp1970,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
366,816,Krasnyi Bogatyr',Vladimirskaia oblast',Tcentralny,0,0,0,6.0,56.02,41.14,3138.2404,1692.4996,2304.6628,0,0,NA,NA,38747.497789999994,82834.4291,120394.2686,154846.5816,0.0,0.0,NA,NA,111.61545249999999,128.246544,136.8555388,142.80704369999998,0,0,0,0,0,0,1,0,0
367,818,Bogoliubovo,Vladimirskaia oblast',Tcentralny,0,0,0,6.0,56.2,40.55,3158.44,1644.3025,2278.91,0,0,NA,NA,43422.44823,92358.71174,136734.5845,177580.9571,0.0,0.0,NA,NA,114.0353134,130.7234431,139.8494744,146.0999658,0,0,0,0,0,0,1,0,0
368,820,Iur'ev-Pol'skii,Vladimirskaia oblast',Tcentralny,0,1,1,6.0,56.5,39.67,3192.25,1573.7089,2241.355,8105,15158,16801,22100,43809.5626,95038.01691,135185.3489,172216.6953,81.00425587,92.66533834,94.65720981,100.0666689,114.22495190000001,131.3781837,139.5800963,145.35940490000002,0,0,0,0,0,0,1,0,0
372,829,Teikovo,Ivanovskaia oblast',Tcentralny,0,1,0,6.0,56.85,40.53,3231.9225,1642.6809,2304.1305,17521,27295,28298,41600,41876.20395,91327.47327,127944.912,162916.4088,95.47547864,104.3351689,105.0737017,113.12142109999999,113.26223200000001,130.4668112,138.2824318,144.0238214,0,0,0,0,0,0,1,0,0
373,831,Furmanov,Ivanovskaia oblast',Tcentralny,0,1,0,18.0,57.25,41.11,3277.5625,1690.0321,2353.5475,20370,36000,38200,40200,39822.739819999995,86380.6925,120746.0416,153552.6381,98.44248253,110.0668347,111.31496609999998,112.39439490000001,112.19456059999999,129.19776470000002,136.9238102,142.6065563,0,0,0,0,0,0,1,0,0
375,834,Kamenka,Ivanovskaia oblast',Tcentralny,0,0,0,18.0,57.38,41.82,3292.4644,1748.9124,2399.6316,0,0,NA,NA,37060.05533,80502.7641,113096.3939,142779.0738,0.0,0.0,NA,NA,110.67660670000001,127.6006733,135.3963977,140.8744375,0,0,0,0,0,0,1,0,0
376,835,Novopistsovo,Ivanovskaia oblast',Tcentralny,0,0,0,18.0,57.33,41.87,3286.7289,1753.0969,2400.4071,0,0,NA,NA,37600.86419,81583.98187999999,114358.6684,144158.1346,0.0,0.0,NA,NA,110.98163840000001,127.9022619,135.654822,141.1027091,0,0,0,0,0,0,1,0,0
377,836,Staraia Vichuga,Ivanovskaia oblast',Tcentralny,0,0,0,18.0,57.27,41.87,3279.8529,1753.0969,2397.8949,0,0,NA,NA,39391.50596,84732.25215,117942.8394,147998.0024,0.0,0.0,NA,NA,111.96402579999999,128.7601186,136.37464169999998,141.7279311,0,0,0,0,0,0,1,0,0
378,838,Verkhnii Landekh,Ivanovskaia oblast',Tcentralny,0,0,1,6.0,56.84,42.6,3230.7856,1814.76,2421.384,0,0,NA,NA,34083.611410000005,74428.58624,108201.2276,138511.6911,0.0,0.0,NA,NA,108.92203390000002,125.8344459,134.36862150000002,140.15505480000002,0,0,0,0,0,0,1,0,0
380,841,Ivan'kovskii,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.58,40.11,3201.2964,1608.8121,2269.4238,0,0,NA,NA,43179.691889999995,93515.25073,132157.3249,168444.8705,0.0,0.0,NA,NA,113.91560940000001,131.0081647,139.0453291,144.82591200000002,0,0,0,0,0,0,1,0,0
381,842,Petrovskii,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.64,40.32,3208.0896,1625.7024,2283.7248,0,0,NA,NA,42302.52438,90633.55002000001,128337.63,163959.0902,0.0,0.0,NA,NA,113.47793030000001,130.2926305,138.3545197,144.1769878,0,0,0,0,0,0,1,0,0
382,844,Zavolzhsk,Ivanovskaia oblast',Tcentralny,0,1,1,18.0,57.49,42.14,3305.1001,1775.7796,2422.6286,0,12117,15487,16700,38237.18402,87478.59817000001,120555.3364,150658.8991,0.0,88.40446203,93.07920049,94.53991814,111.335497,129.4850422,136.8868211,142.15253069999997,0,0,0,0,0,0,1,0,0
383,845,Dolmatovskii,Ivanovskaia oblast',Tcentralny,0,0,0,18.0,57.5,42.33,3306.25,1791.8289,2433.975,0,0,NA,NA,33775.250060000006,75299.34104,106694.3127,135029.7316,0.0,0.0,NA,NA,108.7324135,126.0955314,134.04367299999998,139.55288190000002,0,0,0,0,0,0,1,0,0
384,846,Zarechnyi,Ivanovskaia oblast',Tcentralny,0,0,0,18.0,57.47,42.28,3302.8009,1787.5984,2429.8316,0,0,NA,NA,34957.34617,78990.01554,111051.7383,139966.4327,0.0,0.0,NA,NA,109.45101509999998,127.1724598,134.9721495,140.40254309999997,0,0,0,0,0,0,1,0,0
385,848,Kokhma,Ivanovskaia oblast',Tcentralny,0,1,0,6.0,56.93,41.09,3241.0249,1688.3881,2339.2537,11555,18983,20252,22300,49242.52302,109114.9057,148117.6702,188284.5268,87.51365863,97.04809437,98.32723118,100.24699150000001,116.7374972,134.5636375,141.7471761,147.5182602,0,0,0,0,0,0,1,0,0
386,849,Ozernyi,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,57.16,40.98,3267.2656,1679.3604,2342.4168,0,0,NA,NA,44205.78338,96079.30752999999,132014.1819,167340.69,0.0,0.0,NA,NA,114.41748490000002,131.6281056,139.01977250000002,144.66766189999998,0,0,0,0,0,0,1,0,0
387,851,Il'inskoe-Khovanskoe,Ivanovskaia oblast',Tcentralny,0,0,1,6.0,56.97,39.76,3245.5809,1580.8576,2265.1272,0,0,NA,NA,42013.721939999996,91301.62968,128203.7517,163173.81900000002,0.0,0.0,NA,NA,113.33202620000002,130.4603459,138.3299675,144.06171750000001,0,0,0,0,0,0,1,0,0
389,855,Komsomol'sk,Ivanovskaia oblast',Tcentralny,0,1,1,6.0,57.03,40.38,3252.4209,1630.5444,2302.8714,0,15700,11100,12300,42321.64598,91255.15175,127610.2081,162665.8815,0.0,93.34295896,86.76364331,88.68656656,113.48755870000001,130.4487144,138.2208331,143.986886,0,0,0,0,0,0,1,0,0
390,856,Markovo,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,57.02,40.49,3251.2804,1639.4401,2308.7398,0,0,NA,NA,42888.89848,94784.37264,130536.68400000001,166141.5235,0.0,0.0,NA,NA,113.77141259999999,131.3169277,138.75448980000002,144.4947103,0,0,0,0,0,0,1,0,0
391,857,Oktiabr'skii,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,57.14,40.34,3264.9796,1627.3156,2305.0276,0,0,NA,NA,41985.530360000004,91906.89937999999,127715.3003,162468.5917,0.0,0.0,NA,NA,113.31773510000001,130.61132949999998,138.24019009999998,143.9577626,0,0,0,0,0,0,1,0,0
392,858,Pistsovo,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,57.18,40.53,3269.5524,1642.6809,2317.5054,3621,0,NA,NA,41535.86155,91022.55711000001,126520.8642,160924.0836,67.14992055,0.0,NA,NA,113.08860159999999,130.3904239,138.01932230000003,143.72863999999998,0,0,0,0,0,0,1,0,0
393,859,Podozerskii,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,57.22,40.33,3274.1284,1626.5089,2307.6826,0,0,NA,NA,41842.705910000004,91308.34596,127233.5892,161824.1839,0.0,0.0,NA,NA,113.2451993,130.4620263,138.1513434,143.8624107,0,0,0,0,0,0,1,0,0
394,861,Lezhnevo,Ivanovskaia oblast',Tcentralny,0,0,1,6.0,56.77,40.89,3222.8329,1671.9921,2321.3253,4073,0,NA,NA,43063.953180000004,93448.74942000001,130442.2453,166275.7913,69.09159005,0.0,NA,NA,113.85832340000002,130.9918804,138.73744019999998,144.5141321,0,0,0,0,0,0,1,0,0
395,862,Novye Gorki,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.73,41.06,3218.2929,1685.9236,2329.3338,0,0,NA,NA,42493.7265,91108.71356,127833.7472,162825.3675,0.0,0.0,NA,NA,113.57403049999999,130.4120314,138.2619895,144.01040519999998,0,0,0,0,0,0,1,0,0
396,864,Lukh,Ivanovskaia oblast',Tcentralny,0,0,1,18.0,57.0,42.27,3249.0,1786.7529,2409.39,0,0,NA,NA,35226.068980000004,76374.60352,109444.9894,139437.5782,0.0,0.0,NA,NA,109.6113031,126.41416740000001,134.633724,140.31284519999997,0,0,0,0,0,0,1,0,0
397,866,Palekh,Ivanovskaia oblast',Tcentralny,0,0,1,6.0,56.8,41.87,3226.24,1753.0969,2378.216,0,0,NA,NA,37775.65265,81201.44308,115576.5688,147135.5244,0.0,0.0,NA,NA,111.07937530000001,127.79597749999999,135.9017017,141.58880390000002,0,0,0,0,0,0,1,0,0
398,868,Pestiaki,Ivanovskaia oblast',Tcentralny,0,0,1,6.0,56.71,42.67,3216.0241,1820.7289,2419.8157,0,0,NA,NA,34229.92834,75074.43397,109688.2543,140622.6345,0.0,0.0,NA,NA,109.0114665,126.0283602,134.68525269999998,140.51340969999998,0,0,0,0,0,0,1,0,0
400,871,Privolzhsk,Ivanovskaia oblast',Tcentralny,0,1,0,18.0,57.38,41.3,3292.4644,1705.69,2369.794,6486,14669,18723,19800,38435.25308,82141.92468,115134.7105,146138.2258,77.04277335,92.03508305,96.77656352,97.88009996,111.444556,128.0564689,135.812409,141.4269944,0,0,0,0,0,0,1,0,0
402,875,Rodniki,Ivanovskaia oblast',Tcentralny,0,1,1,18.0,57.11,41.74,3261.5521,1742.2276,2383.7714,15446,26996,29282,30000,38135.77621,82290.17852,115838.6162,146833.9607,93.0280572,104.1102692,105.77563559999999,106.274505,111.27946270000001,128.0972834,135.9545101,141.5399821,0,0,0,0,0,0,1,0,0
403,876,Kaminskii,Ivanovskaia oblast',Tcentralny,0,0,0,18.0,57.15,41.47,3266.1225,1719.7609,2370.0105,0,0,NA,NA,40365.90205,86799.96074,120962.4802,153043.6035,0.0,0.0,NA,NA,112.4817358,129.3078612,136.9657257,142.5272605,0,0,0,0,0,0,1,0,0
404,878,Savino,Ivanovskaia oblast',Tcentralny,0,0,1,6.0,56.59,41.22,3202.4281,1699.0884,2332.6398,0,0,NA,NA,40488.65943,87130.13883,124093.1259,158358.8036,0.0,0.0,NA,NA,112.5461537,129.39422240000002,137.5644581,143.34359719999998,0,0,0,0,0,0,1,0,0
405,879,Arkhipovka,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.66,41.25,3210.3556,1701.5625,2337.225,0,0,NA,NA,40880.446110000004,87783.5055,124264.6091,158342.1094,0.0,0.0,NA,NA,112.75057009999999,129.5642406,137.5968534,143.3410728,0,0,0,0,0,0,1,0,0
406,880,Panfilovo,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.67,41.15,3211.4889,1693.3225,2331.9705,0,0,NA,NA,41303.19576,88694.63801,125338.505,159754.0305,0.0,0.0,NA,NA,112.9691607,129.7994172,137.7988008,143.5537208,0,0,0,0,0,0,1,0,0
407,882,Sokol'skoe,Ivanovskaia oblast',Tcentralny,0,0,1,25.0,57.09,42.26,3259.2681,1785.9076,2412.6234,0,0,NA,NA,35274.19771,76505.58131000001,109258.4613,138946.7679,0.0,0.0,NA,NA,109.63989409999999,126.45270079999999,134.59414230000002,140.2293208,0,0,0,0,0,0,1,0,0
408,884,Nerl',Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.65,40.38,3209.2225,1630.5444,2287.527,1053,0,NA,NA,41990.52413,90493.6251,128055.2561,163627.0158,48.43322765,0.0,NA,NA,113.3202672,130.25736080000001,138.3027071,144.1283043,0,0,0,0,0,0,1,0,0
409,885,Novoe Leushino,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.81,40.51,3227.3761,1641.0601,2301.3731,0,0,NA,NA,45432.10778,96474.21291,133406.6952,171152.1236,0.0,0.0,NA,NA,115.0036259,131.7222412,139.2673207,145.2099241,0,0,0,0,0,0,1,0,0
410,887,Duliapino,Ivanovskaia oblast',Tcentralny,0,0,0,18.0,57.26,40.82,3278.7076,1666.2724,2337.3532,0,0,NA,NA,41427.70658,89504.61486,124360.0381,157860.7575,0.0,0.0,NA,NA,113.03315500000001,130.0066408,137.61486340000002,143.2681796,0,0,0,0,0,0,1,0,0
411,889,Kolobovo,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.71,41.35,3216.0241,1709.8225,2344.9585,0,0,NA,NA,41192.70018,88184.44982000001,124300.3949,158061.2167,0.0,0.0,NA,NA,112.91222320000001,129.66800320000002,137.6036086,143.2985607,0,0,0,0,0,0,1,0,0
412,891,Iuzha,Ivanovskaia oblast',Tcentralny,0,1,1,6.0,56.59,42.0,3202.4281,1764.0,2376.78,12890,21586,23066,23800,36394.26222,78454.82975,113256.5223,144985.0782,89.57121595,99.59641274,100.92442559999999,101.55481429999999,110.2954993,127.01917340000001,135.4293262,141.2386331,0,0,0,0,0,0,1,0,0
413,892,Mosta,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.53,42.17,3195.6409,1778.3089,2383.8701,0,0,NA,NA,36727.24298,79116.14502000001,114110.0116,145806.7231,0.0,0.0,NA,NA,110.48688270000001,127.2084475,135.6041217,141.3729848,0,0,0,0,0,0,1,0,0
414,893,Mugreevskii,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.6,42.36,3203.56,1794.3696,2397.576,0,0,NA,NA,35501.72213,77122.30112999999,111840.2943,143170.9725,0.0,0.0,NA,NA,109.7745798,126.6333347,135.1366072,140.93951189999999,0,0,0,0,0,0,1,0,0
415,894,Kholui,Ivanovskaia oblast',Tcentralny,0,0,0,6.0,56.58,41.88,3201.2964,1753.9344,2369.5704,1366,0,NA,NA,38493.1865,82411.15649,117636.8006,149751.962,52.12323119,0.0,NA,NA,111.47635859999998,128.1305392,136.3139656,142.00858780000002,0,0,0,0,0,0,1,0,0
416,896,Iur'evets,Ivanovskaia oblast',Tcentralny,0,1,1,18.0,57.33,43.1,3286.7289,1857.61,2470.923,9278,15508,19746,20100,30398.486969999998,66492.78035,97125.175,124593.7596,83.45555664,93.10534886,97.82606949,98.17787869,106.54674170000001,123.31766359999999,131.8766493,137.65891969999998,0,0,0,0,0,0,1,0,0
418,905,Bezhetsk,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.78,36.7,3338.5284,1346.89,2120.526,12911,17545,26921,30000,32905.89453,70086.92171000001,98048.51417000001,125127.0797,89.60203111,95.50223096,104.05350379999999,106.274505,108.18926940000001,124.4896163,132.0940526,137.75916750000002,0,0,0,0,0,0,1,0,0
419,906,Bologoe,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.88,34.04,3350.0944,1158.7216,1970.2352,10872,17320,30301,33900,29989.17874,62173.07045,84792.22019,107915.5586,86.37743143,95.25012754,106.48044009999998,108.8093137,106.26706670000002,121.83031869999999,128.7761752,134.30733930000002,0,0,0,0,0,0,1,0,0
421,908,Kashin,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.36,37.6,3290.1696,1413.76,2156.736,7838,12431,16162,17700,37539.88442,80887.3004,113767.5819,144884.8458,80.40240791,88.88621540000001,93.9042027,95.67421935,110.94744340000001,127.7083544,135.5341358,141.2221959,0,0,0,0,0,0,1,0,0
422,909,Kimry,Kalininskaia oblast',Tcentralny,0,1,0,43.0,56.87,37.34,3234.1969,1394.2756,2123.5258,18526,35185,41243,53400,43159.61123,94700.96319,133948.09900000002,170502.6413,96.56856167,109.586878,112.9381595,118.49554769999999,113.9056803,131.2967513,139.3629284,145.1183084,0,0,0,0,0,0,1,0,0
423,910,Konakovo,Kalininskaia oblast',Tcentralny,0,1,0,43.0,56.7,36.78,3214.89,1352.7684,2085.426,0,11900,13700,29500,44765.16538,97675.56234,137311.9676,174630.35199999998,0.0,88.06496786,90.7285037,105.92825990000001,114.68665530000001,132.0064658,139.9491544,145.6952018,0,0,0,0,0,0,1,0,0
425,912,Ostashkov,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.14,33.12,3264.9796,1096.9344,1892.4768,12892,19003,19542,23400,28816.153489999997,59685.003970000005,81911.07011,104570.3054,89.57415267,97.0688427,97.62074849,101.21348520000001,105.4460229,120.9304037,127.9927803,133.57846229999998,0,0,0,0,0,0,1,0,0
427,914,Torzhok,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.04,34.95,3253.5616,1221.5025,1993.5479999999998,14261,29309,34921,45400,34081.411589999996,71831.39778,99404.34682,126875.0655,91.49465451,105.7945942,109.4292498,114.98846340000001,108.9206867,125.038845,132.40992409999998,138.08501730000003,0,0,0,0,0,0,1,0,0
431,922,Berezaika,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.98,33.89,3361.6804,1148.5321,1964.9422,1277,0,NA,NA,30309.5101,62495.64772000001,85600.05762,108655.2273,51.15494979,0.0,NA,NA,106.48623549999999,121.94458459999998,128.99147140000002,134.4657108,0,0,0,0,0,0,1,0,0
432,923,Vypolzovo,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.87,33.7,3348.9369,1135.69,1950.219,0,0,NA,NA,30083.995280000003,61820.12265,84598.1934,107509.2834,0.0,0.0,NA,NA,106.332159,121.7046754,128.72418670000002,134.21992869999997,0,0,0,0,0,0,1,0,0
433,924,Kuzhenkino,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.72,33.96,3331.5984,1153.2816,1960.1712,0,0,NA,NA,30763.321030000003,63598.7879,87122.10126,110633.6668,0.0,0.0,NA,NA,106.793176,122.33133529999999,129.39212369999998,134.884525,0,0,0,0,0,0,1,0,0
435,928,Krasnomaiskii,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.61,34.41,3318.9121,1184.0481,1982.3601,0,0,NA,NA,34131.6535,70982.87933,95577.98766,120600.7778,0.0,0.0,NA,NA,108.9514367,124.7732338,131.5080932,136.89563969999998,0,0,0,0,0,0,1,0,0
436,930,Zharkovskii,Kalininskaia oblast',Tcentralny,0,0,1,40.0,55.85,32.28,3119.2225,1041.9984,1802.838,0,0,NA,NA,27309.72288,56085.25272999999,77525.73092,99811.10333,0.0,0.0,NA,NA,104.3461855,119.56609350000001,126.75078629999999,132.5039201,0,0,0,0,0,0,1,0,0
438,933,Staraia Toropa,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.28,31.66,3167.4384,1002.3556,1781.8248,0,0,NA,NA,26412.53974,54080.39524,74385.49202,95402.46872,0.0,0.0,NA,NA,103.6648598,118.77135220000001,125.82145249999999,131.4659395,0,0,0,0,0,0,1,0,0
440,937,Vasil'evskii Mokh,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.02,35.89,3251.2804,1288.0921,2046.4478,0,0,NA,NA,41272.39989,87861.5047,120784.8628,154651.3222,0.0,0.0,NA,NA,112.9533057,129.5844603,136.9313333,142.7768882,0,0,0,0,0,0,1,0,0
441,938,Orsha,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.91,36.22,3238.7481,1311.8884,2061.2802,0,0,NA,NA,43086.89915,92434.06163,127591.1628,163322.9054,0.0,0.0,NA,NA,113.86969180000001,130.7420919,138.21732350000002,144.083641,0,0,0,0,0,0,1,0,0
442,939,Sukhoverkovo,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.63,35.56,3206.9569,1264.5136,2013.7628,0,0,NA,NA,39659.64603,84692.76809,117440.5241,150172.6107,0.0,0.0,NA,NA,112.1076388,128.7495411,136.2749753,142.0754493,0,0,0,0,0,0,1,0,0
444,944,Kesova Gora,Kalininskaia oblast',Tcentralny,0,0,1,43.0,57.58,37.3,3315.4564,1391.29,2147.734,0,0,NA,NA,35485.59126,75776.6323,106441.2689,135596.3475,0.0,0.0,NA,NA,109.7650567,126.2374769,133.9886963,139.6518342,0,0,0,0,0,0,1,0,0
445,946,Belyi Gorodok,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.96,37.51,3244.4416,1407.0001,2136.5696,0,0,NA,NA,43266.08045,94042.51462999999,132096.785,168112.7748,0.0,0.0,NA,NA,113.9582777,131.13690359999998,139.0345235,144.77841659999999,0,0,0,0,0,0,1,0,0
446,948,Izoplit,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.63,36.21,3206.9569,1311.1641,2050.5723,0,0,NA,NA,43584.01224,94344.57422000001,131294.4767,167731.7523,0.0,0.0,NA,NA,114.11464550000001,131.2103592,138.8908917,144.7238178,0,0,0,0,0,0,1,0,0
447,949,Kozlovo,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.57,35.49,3314.3049,1259.5401,2043.1593,0,0,NA,NA,33045.67952,69626.64411000001,96436.88879,122928.4783,0.0,0.0,NA,NA,108.27747099999999,124.34262859999998,131.7133591,137.3433517,0,0,0,0,0,0,1,0,0
448,950,Novozavidovskii,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.56,36.43,3199.0336,1327.1449,2060.4808,0,0,NA,NA,44969.31635,98154.34195,137211.1841,175059.6159,0.0,0.0,NA,NA,114.78413219999999,132.1188506,139.93178269999999,145.7544763,0,0,0,0,0,0,1,0,0
449,951,Radchenko,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.68,36.37,3212.6224,1322.7769,2061.4516,0,0,NA,NA,43712.76688,94972.87822,132367.6463,169140.6887,0.0,0.0,NA,NA,114.1776767,131.36246670000003,139.08283369999998,144.9251482,0,0,0,0,0,0,1,0,0
450,952,Redkino,Kalininskaia oblast',Tcentralny,0,0,0,43.0,56.64,36.29,3208.0896,1316.9641,2055.4656,0,0,NA,NA,43759.84792,94927.27418,132244.4699,168927.4355,0.0,0.0,NA,NA,114.20068300000001,131.3514573,139.0608754,144.8947743,0,0,0,0,0,0,1,0,0
453,958,Lesnoe,Kalininskaia oblast',Tcentralny,0,0,1,43.0,58.29,35.53,3397.7241,1262.3809,2071.0437,0,0,NA,NA,29547.52488,62144.80444,86272.07421,109908.1574,0.0,0.0,NA,NA,105.9613973,121.8202804,129.1691629,134.73174319999998,0,0,0,0,0,0,1,0,0
455,962,Kalashnikovo,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.27,35.22,3279.8529,1240.4484,2017.0494,1846,0,NA,NA,34415.860389999994,72666.08656,100341.8238,128006.9849,56.56207789,0.0,NA,NA,109.12461529999999,125.29735409999999,132.626038,138.2938394,0,0,0,0,0,0,1,0,0
456,964,Maksatikha,Kalininskaia oblast',Tcentralny,0,0,1,43.0,57.79,35.88,3339.6841,1287.3744,2073.5052,1803,0,NA,NA,32169.21355,68017.53087,94617.2247,120616.5873,56.20811615,0.0,NA,NA,107.7187665,123.8217182,131.276479,136.8987071,0,0,0,0,0,0,1,0,0
457,966,Molokovo,Kalininskaia oblast',Tcentralny,0,0,1,43.0,58.17,36.77,3383.7489,1352.0329,2138.9109,0,0,NA,NA,31074.90805,65707.17418,92043.84988,117441.9223,0.0,0.0,NA,NA,107.0015625,123.0538369,130.6453657,136.2752533,0,0,0,0,0,0,1,0,0
458,969,Olenino,Kalininskaia oblast',Tcentralny,0,0,1,43.0,56.21,33.49,3159.5641,1121.5801,1882.4729,1096,0,NA,NA,30522.873910000002,63344.63905,87834.21983,112624.8803,48.99191488,0.0,NA,NA,106.63106,122.2427771,129.57738909999998,135.29918840000002,0,0,0,0,0,0,1,0,0
459,972,Peno,Kalininskaia oblast',Tcentralny,0,0,1,43.0,56.95,32.74,3243.3025,1071.9076,1864.543,1279,0,NA,NA,28479.55483,58732.157660000004,80461.53862,102773.2626,51.17733806,0.0,NA,NA,105.2048537,120.57670990000001,127.58910120000002,133.1780742,0,0,0,0,0,0,1,0,0
460,974,Rameshki,Kalininskaia oblast',Tcentralny,0,0,1,43.0,57.34,36.05,3287.8756,1299.6025,2067.107,0,0,NA,NA,35706.719280000005,75972.88506,105662.93,134855.4257,0.0,0.0,NA,NA,109.8952633,126.29560590000001,133.8188415,139.52236509999997,0,0,0,0,0,0,1,0,0
461,977,Sandovo,Kalininskaia oblast',Tcentralny,0,0,1,43.0,58.46,36.41,3417.5716,1325.6881,2128.5286,0,0,NA,NA,29327.5951,61913.30127,86689.72815,110659.2719,0.0,0.0,NA,NA,105.8076419,121.73790859999998,129.2789621,134.8899003,0,0,0,0,0,0,1,0,0
462,979,Selizharovo,Kalininskaia oblast',Tcentralny,0,0,1,43.0,56.85,33.46,3231.9225,1119.5716,1902.201,2042,0,NA,NA,30063.71565,62418.435489999996,85940.63908,109791.1044,58.09008222,0.0,NA,NA,106.31825249999999,121.9172828,129.0816848,134.7070072,0,0,0,0,0,0,1,0,0
463,982,Sonkovo,Kalininskaia oblast',Tcentralny,0,0,1,43.0,57.78,37.16,3338.5284,1380.8656,2147.1048,812,0,NA,NA,33899.61477,72075.7798,101185.1256,128935.9381,44.88330481,0.0,NA,NA,108.80907659999998,125.1148139,132.8188725,138.46395890000002,0,0,0,0,0,0,1,0,0
464,984,Spirovo,Kalininskaia oblast',Tcentralny,0,0,1,43.0,57.42,34.99,3297.0564,1224.3001,2009.1258,1576,0,NA,NA,33222.292610000004,69795.09012000001,96081.14554,122347.4594,54.20854538,0.0,NA,NA,108.38842949999999,124.39652350000001,131.6285445,137.2323289,0,0,0,0,0,0,1,0,0
466,989,Toropets,Kalininskaia oblast',Tcentralny,0,1,1,34.0,56.5,31.64,3192.25,1001.0896,1787.66,9726,12924,15154,16900,26046.463330000002,53639.64062,73695.70651,94496.7925,84.31937126,89.62108471,92.66025724,94.77156651,103.3808477,118.5930504,125.61253529999999,131.2472948,0,0,0,0,0,0,1,0,0
467,992,Firovo,Kalininskaia oblast',Tcentralny,0,0,1,43.0,57.49,33.71,3305.1001,1136.3641,1937.9879,0,0,NA,NA,30170.010089999996,62512.15626,85559.14753,108925.7419,0.0,0.0,NA,NA,106.3910488,121.950418,128.9806131,134.52338500000002,0,0,0,0,0,0,1,0,0
468,993,Velikooktiabr'skii,Kalininskaia oblast',Tcentralny,0,0,0,43.0,57.43,33.81,3298.2049,1143.1161,1941.7083,0,0,NA,NA,30454.480460000002,63197.80542999999,86571.73892,110222.5093,0.0,0.0,NA,NA,106.58473659999999,122.1914655,129.2479923,134.798054,0,0,0,0,0,0,1,0,0
470,1001,Kirov,Kaluzhskaia oblast',Tcentralny,0,1,0,15.0,54.07,34.3,2923.5649,1176.49,1854.601,1223,15313,16647,29400,30463.930860000004,62685.46437,87859.48716,114550.884,50.53876445,92.8613116,94.47811421,105.8583756,106.59114299999999,122.01157260000001,129.5839375,135.69394509999998,0,0,0,0,0,0,1,0,0
471,1002,Liudinovo,Kaluzhskaia oblast',Tcentralny,0,1,0,15.0,53.88,34.43,2903.0544,1185.4249,1855.0884,9934,20858,26433,33900,30280.76257,62793.58964,87769.77361,115133.0338,84.70843415,98.91282796,103.6806284,108.8093137,106.4666523,122.0496485,129.5606792,135.8120696,0,0,0,0,0,0,1,0,0
472,1003,Obninsk,Kaluzhskaia oblast',Tcentralny,0,1,0,15.0,55.1,36.62,3036.01,1341.0244,2017.7620000000002,0,0,16334,48600,49854.050639999994,107654.4264,153450.6217,196751.9196,0.0,0.0,94.10948062,116.4538566,117.0043527,134.251191,142.59068390000002,148.58875980000002,0,0,0,0,0,0,1,0,0
473,1005,Babynino,Kaluzhskaia oblast',Tcentralny,0,0,1,15.0,54.38,35.76,2957.1844,1278.7776,1944.6288,0,0,NA,NA,36742.847839999995,76438.80574,108834.2952,141688.1477,0.0,0.0,NA,NA,110.4958131,126.43306299999999,134.5039031,140.69242509999998,0,0,0,0,0,0,1,0,0
