,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,mp1926,mp1939,mp1959,mp1970,mp1979,spop1926,spop1939,spop1959,spop1970,spop1979,smp1926,smp1939,smp1959,smp1970,smp1979,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
14,45,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,63.96,32.0,4090.8816,1024.0,2046.72,0,0,0,NA,NA,15106.6159,32488.24099,45611.75055,58291.24437000001,68900.6165,0.0,0.0,0.0,NA,NA,92.59997473,107.9237057,115.0882815,120.4112758,124.1089668,0,0,0,0,1,0,0,0,0
16,50,Il'inskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.0,32.68,3721.0,1067.9824,1993.48,0,0,0,NA,NA,25387.17178,53556.98216,69819.41608,87479.06927,103197.6585,0.0,0.0,0.0,NA,NA,102.8601493,118.5594639,124.4042969,129.4851648,133.2732047,0,0,0,0,1,0,0,0,0
18,54,Liaskelia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.57,31.02,3790.8649,962.2404,1909.9014,0,0,0,NA,NA,23294.75809,48792.89192,63993.99748,80278.73533,94554.19619,0.0,0.0,0.0,NA,NA,101.122807,116.53936409999999,122.46840870000001,127.53772250000002,131.2612096,0,0,0,0,1,0,0,0,0
19,63,Shuia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.95,34.23,3837.8025,1171.6929,2120.5485,0,0,0,NA,NA,21165.648830000002,45933.037130000004,64794.67377,83382.74246000001,98795.82264,0.0,0.0,0.0,NA,NA,99.2042854,115.2389347,122.74376869999999,128.39601729999998,132.2686445,0,0,0,0,1,0,0,0,0
20,65,Priazha,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,61.7,33.61,3806.89,1129.6321,2073.737,0,0,0,NA,NA,21506.42599,45993.66033,63001.965939999995,80172.04895,94737.05313,0.0,0.0,0.0,NA,NA,99.52271192,115.26725400000001,122.12285959999998,127.50768799999999,131.3054833,0,0,0,0,1,0,0,0,0
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,63.7,34.13,4057.69,1164.8569,2174.081,0,4845,19708,28800,36400,15804.659930000002,34091.85915,48007.63804,61425.70235,72550.44059,0.0,72.00714733,97.78796838,105.4345074,110.2988105,93.47138625,108.9270844,116.1893289,121.56349440000001,125.2616996,0,0,0,0,1,0,0,0,0
23,74,Nadvoitsy,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,63.89,34.26,4081.9321,1173.7476,2188.8714,0,0,0,NA,NA,15476.022509999999,33649.67516,48110.15014,61762.140179999995,73055.22305,0.0,0.0,0.0,NA,NA,93.0655191,108.65474509999999,116.2353183,121.6839723,125.41694950000002,0,0,0,0,1,0,0,0,0
25,82,Syktyvkar,Komi ASSR,Severno-Zapadny,1,1,0,7.0,61.68,50.81,3804.4224,2581.6561,3133.9608,4980,24302,64461,125000,171000,14862.55007,32761.50195,51352.83462,66208.52541,78242.51844,72.47432174,101.9759442,122.6293935,137.73531599999998,145.18849430000003,92.28676183,108.09780409999999,117.6460289,123.2225326,126.95809969999999,0,0,0,0,1,0,0,0,0
26,87,Vorkuta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,67.48,64.03,4553.5504,4099.8409,4320.7444,0,0,84125,90000,101100,8637.603405,19311.50673,30742.65972,39771.31045,47307.84899,0.0,0.0,128.59693959999998,130.1325381,132.7994739,82.15392862,97.38643173,106.7792906,112.16718590000002,115.8729855,0,0,0,0,1,0,0,0,0
27,101,Inta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.03,60.17,4359.9609,3620.4289,3973.0251,0,0,45136,50200,50800,9720.048282,21673.821930000002,34701.74675,44824.86208,53365.1628,0.0,0.0,114.8634223,117.15400359999998,117.4113463,84.30812986,99.67746946,109.2975175,114.7152006,118.48134040000001,0,0,0,0,1,0,0,0,0
28,105,Pechora,Komi ASSR,Severno-Zapadny,0,1,0,1.0,65.14,57.23,4243.2196,3275.2729,3727.9622,0,0,30586,41000,56400,10657.23968,23698.798919999997,37754.930389999994,48777.6155,57970.24299,0.0,0.0,106.6737327,112.8125946,119.68851070000001,86.00697811,101.46894820000001,111.0678094,116.5326034,120.29011659999999,0,0,0,0,1,0,0,0,0
30,108,Ukhta,Komi ASSR,Severno-Zapadny,0,1,0,7.0,63.57,53.67,4041.1449,2880.4689,3411.8019,0,2669,36154,62900,87500,12902.935529999999,28341.03097,44539.49775,57849.95277,68352.70941,0.0,62.24356567,110.1564202,122.08706240000001,129.4906095,89.59020271,105.104855,114.5784347,120.244557,123.931142,0,0,0,0,1,0,0,0,0
32,116,Shchel'iaiur,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.33,53.43,4268.0089,2854.7649,3490.5819,0,0,0,NA,NA,11246.13632,24773.47829,38940.561239999995,50385.11221,59815.197889999996,0.0,0.0,0.0,NA,NA,87.00747806,102.36439179999999,111.72049640000002,117.23369550000001,120.9783321,0,0,0,0,1,0,0,0,0
33,117,Izhma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.01,53.93,4226.3001,2908.4449,3505.9893,0,0,0,NA,NA,11352.10928,25081.91059,39610.06541,51269.44229,60881.82121,0.0,0.0,0.0,NA,NA,87.1825353,102.614918,112.0811503,117.61077560000001,121.36745649999999,0,0,0,0,1,0,0,0,0
34,120,Emva,Komi ASSR,Severno-Zapadny,0,1,1,7.0,62.56,50.83,3913.7536,2583.6889,3179.9248,0,0,13700,13500,15900,14005.204,30984.6073,48698.87675,63239.21038,75005.04039,0.0,0.0,90.7285037,90.44856342,93.58771527,91.14872718,106.94136509999998,116.4977263,122.2059456,126.007598,0,0,0,0,1,0,0,0,0
35,122,Sindor,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.86,51.88,3951.3796,2691.5344,3261.1768,0,0,0,NA,NA,13443.08479,29778.020439999997,47134.08705,61102.09642,72471.1884,0.0,0.0,0.0,NA,NA,90.3682208,106.12143449999999,115.79377790000001,121.44704420000001,125.23723570000001,0,0,0,0,1,0,0,0,0
36,126,Koigorodok,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.46,51.02,3655.4116,2603.0404,3084.6692,0,0,0,NA,NA,16264.83686,36059.15132,56979.509470000005,73817.66814,87406.95736,0.0,0.0,0.0,NA,NA,94.02717018,110.10128540000001,119.9122895,125.6496034,129.4663973,0,0,0,0,1,0,0,0,0
