,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
27,101,Inta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.03,60.17,4359.9609,3620.4289,3973.0251,0,0,45136,50200,50800,66356,43350,9720.048282,21673.821930000002,34701.74675,44824.86208,53365.1628,71470.91941,69480.95362,0.0,0.0,114.8634223,117.15400359999998,117.4113463,123.27193390000002,113.99965259999999,84.30812986,99.67746946,109.2975175,114.7152006,118.48134040000001,124.92635559999998,124.2959186,0,0,0,0,1,0,0,0,0
28,105,Pechora,Komi ASSR,Severno-Zapadny,0,1,0,1.0,65.14,57.23,4243.2196,3275.2729,3727.9622,0,0,30586,41000,56400,64746,48700,10657.23968,23698.798919999997,37754.930389999994,48777.6155,57970.24299,78299.42603,75901.79485,0.0,0.0,106.6737327,112.8125946,119.68851070000001,122.7271179,116.49822420000001,86.00697811,101.46894820000001,111.0678094,116.5326034,120.29011659999999,126.9744846,126.2745652,0,0,0,0,1,0,0,0,0
29,106,Usinsk,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.01,57.55,4357.3201,3312.0025,3798.8755,0,0,0,700,19500,47219,45358,10140.52306,22518.3197,36217.14649,46754.06765,55434.7976,74606.67113999999,71614.95727,0.0,0.0,0.0,42.91665356,97.5782375,115.83251770000001,114.96861470000002,85.08761566,100.442177,110.19305420000002,115.6196227,119.31111609999998,125.88806809999998,124.97136529999999,0,0,0,0,1,0,0,0,0
30,108,Ukhta,Komi ASSR,Severno-Zapadny,0,1,0,7.0,63.57,53.67,4041.1449,2880.4689,3411.8019,0,2669,36154,62900,87500,136931,124027,12902.935529999999,28341.03097,44539.49775,57849.95277,68352.70941,89987.94174,87872.66043999999,0.0,62.24356567,110.1564202,122.08706240000001,129.4906095,139.88342690000002,137.5519551,89.59020271,105.104855,114.5784347,120.244557,123.931142,130.1294811,129.5873508,0,0,0,0,1,0,0,0,0
31,114,Vuktyl,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.87,57.32,4079.3769,3285.5824,3661.0284,0,0,100,7800,16800,19330,14472,11400.77583,25451.673469999998,40952.69227,52843.01635,62659.54866,83264.33472,81125.55833,0.0,0.0,21.20759244,80.31527544,94.65605161,97.40532426,91.77584488,87.26243939,102.9116264,112.788071,118.26738329999999,122.0024376,128.3638147,127.7748395,0,0,0,0,1,0,0,0,0
34,120,Emva,Komi ASSR,Severno-Zapadny,0,1,1,7.0,62.56,50.83,3913.7536,2583.6889,3179.9248,0,0,13700,13500,15900,18782,16739,14005.204,30984.6073,48698.87675,63239.21038,75005.04039,98902.38147000001,96754.20242999999,0.0,0.0,90.7285037,90.44856342,93.58771527,96.83847594,94.58528422,91.14872718,106.94136509999998,116.4977263,122.2059456,126.007598,132.29344129999998,131.7887709,0,0,0,0,1,0,0,0,0
42,143,Sosnogorsk,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.58,53.92,4042.4164,2907.3664,3428.2336,6710,11255,15799,24700,27000,30439,29587,12299.10483,27521.70897,46024.91356,60721.37835,72985.59554,98333.67241,95238.11177,77.63996337,87.02217633,93.46446053,102.30429409999999,104.1132927,106.5742385,105.9888854,88.68519576,104.50421659999999,115.28184040000001,121.3093219,125.39559320000001,132.1608163,131.4264022,0,0,0,0,1,0,0,0,0
57,180,Arkhangel'sk,Arkhangel'skaia oblast',Severno-Zapadny,1,1,0,1.0,64.53,40.56,4164.1209,1645.1136,2617.3368,71091,251000,256309,342600,385000,415921,356051,13741.766480000002,30198.400939999996,46827.66819,62180.951839999994,74642.75877,96653.02004,93085.55178,124.807239,154.5846666,155.1055789,162.41766330000002,165.4052853,167.398329,163.4007238,90.78650228,106.4104532,115.6534523,121.83311699999999,125.89891999999999,131.76474879999998,130.9027567,0,0,0,0,1,0,0,0,0
58,185,Koriazhma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.32,47.14,3760.1424,2222.1796,2890.6248,0,0,11200,33200,42800,41795,42811,17090.02114,37426.53575,57336.459520000004,74095.9899,87298.1228,114702.2844,112082.7307,0.0,0.0,86.93080469,108.3744534,113.72715330000001,113.22092109999998,113.73263429999999,94.98938931,110.88374830000001,120.04909939999999,125.73398600000002,129.4380458,135.7247186,135.18695559999998,0,0,0,0,1,0,0,0,0
59,187,Kotlas,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.26,46.7,3752.7876,2180.89,2860.842,4280,17265,39162,55700,61400,82512,74082,17215.18737,37314.59811,56851.703239999995,73954.76182999999,87408.53901000001,114298.8728,112069.2272,69.9181655,95.18805532,111.8404001,119.41540149999999,121.55426580000001,128.1582262,125.7297513,95.13168415,110.82067450000001,119.8631152,125.6912041,129.4668091,135.6426391,135.1841539,0,0,0,0,1,0,0,0,0
60,189,Novodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.42,40.81,4149.9364,1665.4561,2628.9802,0,0,16300,34200,47800,50183,43383,18003.92567,44887.33262,60504.11052,79377.90163,93142.2665,116917.7971,110625.6842,0.0,0.0,94.06905667,108.9932017,116.09590379999999,117.1466717,114.0159027,96.00756681,114.74503529999998,121.23037439999999,127.2829665,130.9166946,136.17084430000003,134.882849,0,0,0,0,1,0,0,0,0
61,191,Onega,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,63.91,38.1,4084.4881,1451.61,2434.971,5254,15783,21306,25000,25000,26070,23430,15355.76144,33798.851610000005,48729.64052,63020.23465,74570.47127000001,95942.51711,93254.21326,73.38911939,93.44487024,99.335986,102.54865749999999,102.54865749999999,103.39921600000001,101.2392665,92.91506385,108.746982,116.5113591,122.12926759999999,125.87717759999998,131.59541570000002,130.9441833,0,0,0,0,1,0,0,0,0
62,193,Severodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.57,39.85,4169.2849,1588.0225,2573.1145,0,21304,78657,144700,197200,248670,201551,15853.94175,36995.60409,51376.247989999996,66604.69602999999,78232.53498,99196.07642,95523.27167,0.0,99.33411476,127.07719009999998,141.1918555,148.64422319999997,154.35284380000002,149.17685500000002,93.53159569,110.6399862,117.6559174,123.3550168,126.9552242,132.3616596,131.49495990000003,0,0,0,0,1,0,0,0,0
63,195,Vel'sk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,7.0,61.07,42.09,3729.5449,1771.5681,2570.4363,3486,6712,16938,21900,24600,25967,26241,19117.55025,41186.606889999995,60250.91963,77554.49331,91427.25138,118586.4644,116573.8106,66.52865907,77.64521534,94.81530141,99.88487147,102.2222451,103.3187228,103.5322195,97.18730238,112.9090794,121.1380479,126.75913870000001,130.491757,136.50178019999998,136.1020871,0,0,0,0,1,0,0,0,0
87,237,Niandoma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,27.0,61.67,40.21,3803.1889,1616.8441,2479.7507,4373,14906,21668,23400,22000,24826,22619,18567.32861,39943.5328,57774.03622,74316.52208,87670.65012,113173.9839,111083.4042,70.27811855,92.34285725,99.67210516,101.21348520000001,99.97595609,102.40725079999999,100.5316155,96.6123625,112.2587304,120.21575940000001,125.8006429,129.53495619999998,135.41235849999998,134.97877419999998,0,0,0,0,1,0,0,0,0
108,274,Nar'ian-Mar,Nenetskii avtonomnyi okrug,Severno-Zapadny,1,1,1,1.0,67.67,53.08,4579.2289,2817.4864,3591.9236,14000,13700,13200,16900,23400,28854,25592,9785.732003000001,21681.64921,33773.22786,43657.26209,51786.46683,68491.21252,66697.91286,91.14163098,90.7285037,90.02161473,94.77156651,101.21348520000001,105.4729803,103.0232122,84.43185274,99.68467942,108.7311649,114.1505253,117.82850959999999,123.9762158,123.38608529999999,0,0,0,0,1,0,0,1,0
110,279,Vologda,Vologodskaia oblast',Severno-Zapadny,1,1,0,7.0,59.22,39.88,3507.0084,1590.4144,2361.6936,57081,95314,139137,178000,237000,290832,301633,25592.73748,55213.292010000005,79012.53457,101304.0248,118682.6148,150132.0294,148538.0668,119.9512673,131.44466540000002,140.26172590000002,146.1569491,153.16080730000002,158.26900690000002,159.1878393,103.0237971,119.22366570000001,127.17888880000001,132.8459425,136.52071909999998,142.0690064,141.8146717,0,0,0,0,1,0,0,0,0
111,284,Velikii Ustiug,Vologodskaia oblast',Severno-Zapadny,0,1,0,7.0,60.76,46.18,3691.7776,2132.5924,2805.8968,19092,32141,37026,36700,37900,36202,33419,17928.34528,39289.63645,59648.28057,77137.98809,90943.97777,118637.239,116440.3001,97.16093551,107.70055420000001,110.65726399999998,110.47128359999999,111.14865800000001,110.1842723,108.5113864,95.92514454,111.9092335,120.91686750000001,126.63791210000001,130.3707004,136.5117831,136.0753506,0,0,0,0,1,0,0,0,0
113,287,Sokol,Vologodskaia oblast',Severno-Zapadny,0,1,0,7.0,59.46,40.14,3535.4916,1611.2196,2386.7244,5926,29039,41709,48300,45300,46604,43042,26223.36915,55143.88982999999,79143.04742999999,101604.7734,120400.0751,152737.3276,151527.6315,75.46578856,105.6042949,113.17709099999999,116.32025520000002,114.94117709999999,115.5504959,113.84744170000002,103.51854240000002,119.1962001,127.21611670000001,132.9142854,136.85666719999998,142.4794333,142.2896675,0,0,0,0,1,0,0,0,0
114,288,Cherepovets,Vologodskaia oblast',Severno-Zapadny,0,1,0,26.0,59.12,38.0,3495.1744,1444.0,2246.56,21189,32353,92356,188000,265700,310463,311869,26686.18375,56747.0967,79761.85268,101480.9357,119039.0821,151655.0579,150738.7603,99.2262517,107.8370517,130.72277169999998,147.4815266,156.0031758,159.9167637,160.03106430000003,103.874851,119.82279229999999,127.3918685,132.8861666,136.5908107,142.30972219999998,142.1651676,0,0,0,0,1,0,0,0,0
143,352,Murmansk,Murmanskaia oblast',Severno-Zapadny,1,1,0,1.0,68.95,33.1,4754.1025,1095.61,2282.245,8777,119369,221847,309000,380800,468039,336137,9804.65114,22345.994430000002,35154.43736,45266.02571,53286.25473,72716.18512000001,69190.03952,82.44440137,136.6555112,151.5297785,159.7973221,165.1232603,170.46715,161.93260080000002,84.46735184,100.2882547,109.56868459999998,114.92509040000002,118.4491289,125.31278390000001,124.20238090000001,0,0,0,0,1,0,0,0,0
144,357,Apatity,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,67.58,33.39,4567.0564,1114.8921,2256.4962,0,4409,19938,45600,62000,112829,83265,10882.21611,27047.2705,39801.33867,50411.84729,59299.86407,77013.67796,72935.44623,0.0,70.41564742,98.01757835,115.08275330000001,121.7687899,135.34131619999997,128.3639958,86.39489063,104.1489925,112.18317309999999,117.2451832,120.78806329999999,126.6016152,125.38019979999999,0,0,0,0,1,0,0,0,0
145,362,Kandalaksha,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,67.16,32.42,4510.4656,1051.0564,2177.3272,4185,22172,37045,42700,45400,67627,48204,11093.60799,25111.53148,37054.513439999995,47946.330310000005,56883.20147000001,74496.57978,71414.38315,69.54329042,100.1317536,110.66805759999998,113.6772673,114.98846340000001,123.69360309999999,116.27734369999999,86.75291268,102.6388314,110.6734602,116.16178219999999,119.8752437,125.8549328,124.9086663,0,0,0,0,1,0,0,0,0
146,368,Kirovsk,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,67.63,33.72,4573.8169,1137.0384,2280.4836,0,31492,39047,38500,40500,43526,31593,10850.3363,25118.24348,38374.8053,50731.07721,60566.31657,81462.20244,76251.95175,0.0,107.2775747,111.7782072,111.48009609999998,112.55209579999999,114.08619070000002,107.343915,86.34035996,102.64424659999999,111.4113269,117.3819257,121.2530042,127.8684762,126.3780288,0,0,0,0,1,0,0,0,0
147,370,Monchegorsk,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,67.92,32.95,4613.1264,1085.7025,2237.964,0,28450,45523,46000,51400,68652,52242,10576.50968,24586.38995,37198.38625,48575.9251,57712.30463,76114.12189,71832.92143,0.0,105.1835554,115.0464962,115.27021359999999,117.6659447,124.02843770000001,118.0187185,85.86599759,102.21105490000001,110.7550108,116.4431628,120.1923173,126.33735490000001,125.03931940000001,0,0,0,0,1,0,0,0,0
148,372,Olenegorsk,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,68.15,33.23,4644.4225,1104.2329,2264.6245,0,0,12100,21500,27400,35584,25166,10428.06443,25320.2548,38159.03305,49141.6761,58200.61817,76711.48581,72198.538,0.0,0.0,88.37806268,99.51674952,104.41362,109.823093,102.6827385,85.60424024,102.80662,111.29232549999999,116.69320159999998,120.3771313,126.5131561,125.1528862,0,0,0,0,1,0,0,0,0
149,374,Poliarnyi,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,69.19,33.44,4787.2561,1118.2336,2313.7136,406,5903,11400,15300,20000,27635,18552,9887.732246,25196.19095,41267.038010000004,54311.58889,64433.56224,85369.38065,77984.79701000001,36.07627828,75.39823967,87.26116796,92.8449436,98.0790657,104.5882229,96.59612718,84.62252275,102.7070385,112.95054409999999,118.86435159999998,122.61996450000001,128.9301835,126.8837601,0,0,0,0,1,0,0,0,0
150,376,Severomorsk,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,69.07,33.43,4770.6649,1117.5649,2309.0101,0,0,32234,45700,50100,84100,69413,10180.02567,28307.11185,44586.15365,58730.84875,70395.36321,91509.45433,81789.81449,0.0,0.0,107.7605327,115.1297578,117.11084199999999,128.5901987,124.27410139999999,85.15935801,105.080302,114.6008496,120.5762205,124.58762490000001,130.5122902,127.9592625,0,0,0,0,1,0,0,0,0
151,381,Kovdor,Murmanskaia oblast',Severno-Zapadny,0,1,1,1.0,67.57,30.49,4565.7049,929.6401,2060.2093,0,0,5400,12400,23200,30478,20867,10612.196259999999,23925.27589,35277.19,45503.740860000005,53824.93191,70368.52197999999,67593.29791000001,0.0,0.0,73.85948697,88.83914072,101.04084549999999,106.6006771,98.92140904,85.9284358,101.6606527,109.6416705,115.0374189,118.66816920000001,124.5791115,123.68251550000001,0,0,0,0,1,0,0,0,0
161,395,Zapoliarnyi,Murmanskaia oblast',Severno-Zapadny,0,1,0,1.0,69.43,30.83,4820.5249,950.4889,2140.5269,0,0,3800,22100,21200,23564,18640,9371.205655,21498.73307,32430.9989,41995.5308,49842.078089999995,66217.14556,63015.55726,0.0,0.0,67.94303217,100.0666689,99.23659178,101.354061,96.68916903,83.638287,99.5155738,107.88706840000002,113.32280559999998,116.9991568,123.2254229,122.1276271,0,0,0,0,1,0,0,0,0
162,396,Nikel',Murmanskaia oblast',Severno-Zapadny,0,0,1,1.0,69.4,30.23,4816.36,913.8529,2097.962,0,0,0,0,0,21838,16534,9333.367466,21223.62254,32027.91012,42161.47312,49810.29809,65002.00979,62082.727739999995,0.0,0.0,0.0,0.0,0.0,99.82821085,94.34575199,83.56430099,99.25878085,107.62740749999999,113.4067838,116.9853591,122.8145688,121.7982202,0,0,0,0,1,0,0,0,0
166,403,Leningrad,Leningradskii gorsovet,Severno-Zapadny,1,1,0,37.0,59.94,30.31,3592.8036,918.6961,1816.7814,1723390,3619473,3552085,3908858,4532420,5175567,4808994,16356.082919999999,33515.722480000004,48949.56172,64468.504420000005,76927.16795,102968.4975,102251.3996,206.20396630000002,228.06554100000002,227.49825589999998,230.39462819999997,234.9097735,238.9948867,236.72894900000003,94.13569548,108.57160549999999,116.60858909999999,122.6319717,126.576324,133.2218815,133.0606028,0,0,0,0,1,0,0,0,1
168,423,Lomonosov (Petrodvortsovyi raisovet),Leningradskii gorsovet,Severno-Zapadny,0,1,0,37.0,59.91,29.71,3589.2081,882.6841,1779.9261,7061,20650,0,0,0,41694,37776,66924.81977,139625.042,153233.0384,179094.0139,210165.5956,253868.9897,242476.6536,78.54110508,98.71357601,0.0,0.0,0.0,113.1694378,111.07956909999999,123.46154720000001,140.3446761,142.5567983,146.30514,150.20098259999997,154.8674127,153.7267874,0,0,0,0,1,0,0,0,0
170,446,Boksitogorsk,Leningradskaia oblast',Severno-Zapadny,0,1,0,26.0,59.47,33.85,3536.6809,1145.8225,2013.0595,0,9221,20394,22200,23200,21839,18128,27733.79312,57902.08991,77592.63264,98338.06587,116343.7573,146500.3338,143839.0792,0.0,83.34300053,98.46584999,100.15701290000001,101.04084549999999,99.82912588,96.14220165,104.6612257,120.2643143,126.7702098,132.1618436,136.05599980000002,141.4858623,141.05007519999998,0,0,0,0,1,0,0,0,1
171,447,Volkhov,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.92,32.33,3590.4064,1045.2289,1937.2136,6921,29413,36630,47000,49700,50325,46596,32735.993739999998,68040.30614,84896.77237,105021.5798,123923.7511,155430.4645,151316.835,78.18654423,105.8674727,110.4311543,115.7324744,116.93740990000002,117.20784609999998,115.5468051,108.0816081,123.82916909999999,128.8041444,133.6780202,137.5324208,142.89700990000003,142.25645780000002,0,0,0,0,1,0,0,0,1
172,450,Vyborg,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,60.7,28.77,3684.49,827.7129,1746.339,55750,74247,51088,65200,75600,80924,79224,27757.38295,58235.45831,72412.58842999999,88815.87354,104697.9516,131326.139,127625.7366,119.4350125,125.77964899999999,117.53389229999999,122.88198600000001,126.185042,127.71860690000001,127.23917970000001,104.6786226,120.39026340000001,125.2191311,129.8305435,133.60666270000002,138.89657519999997,138.22369419999998,0,0,0,0,1,0,0,0,1
173,453,Kingisepp,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.38,28.61,3525.9844,818.5321,1698.8618,4756,6578,8400,17300,38800,49954,50295,30317.824060000003,62983.5391,78151.61175,95814.72793,112819.7519,140896.0297,137135.6164,71.69283670000002,77.29022656,81.64906079,95.22757632,111.6440652,117.0476854,117.19493500000002,106.491896,122.11639440000002,126.93190320000001,131.5648386,135.33940900000002,140.5594606,139.9187497,0,0,0,0,1,0,0,0,1
174,454,Kirishi,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.45,32.03,3534.3025,1025.9209,1904.1835,0,0,600,27300,44200,53014,55634,33842.371530000004,70395.24306000001,87644.15151,108067.741,127221.856,159246.7373,155135.67,0.0,0.0,40.92070901,104.33891080000001,114.4146858,118.33765690000001,119.3894906,108.77382140000002,124.5875868,129.52807520000002,134.3400041,138.14917549999998,143.47751680000002,142.851626,0,0,0,0,1,0,0,0,1
175,455,Kirovsk,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.87,31.0,3584.4169,961.0,1855.97,0,0,11100,12000,17000,23655,24361,61574.7047,127098.3124,141389.4525,166679.1401,195307.5053,240399.188,230344.1023,0.0,0.0,86.76364331,88.22209811,94.88646972,101.43168370000001,102.0249237,121.61692579999999,138.1263376,140.64236640000001,144.5723899,148.4091775,153.51349030000003,152.4565474,0,0,0,0,1,0,0,0,1
176,456,Lodeinoe Pole,Leningradskaia oblast',Severno-Zapadny,0,1,0,27.0,60.73,33.56,3688.1329,1126.2736,2038.0988,7243,16715,17485,19600,23200,26718,22830,24851.135009999998,52655.115639999996,69764.57479,87833.64004,103584.8013,130757.06599999999,127923.1058,78.99282467,94.55737787,95.43528842,97.67931933,101.04084549999999,103.8991403,100.7178986,102.42773259999998,118.1899183,124.38676880000001,129.5772388,133.3596736,138.79423290000003,138.2784231,0,0,0,0,1,0,0,0,1
177,457,Luga,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,58.73,29.84,3449.2129,890.4256,1752.5032,12279,28010,25540,31900,37700,41769,40434,29762.6252,61141.346560000005,77139.7659,96150.31905,113700.9383,143252.1755,140039.2555,88.65438517,104.8640896,102.9819269,107.5443933,111.03712279999999,113.2076788,112.5174926,106.11078020000001,121.4611983,126.6384308,131.645059,135.52049269999998,140.9529752,140.4148701,0,0,0,0,1,0,0,0,1
178,459,Podporozh'e,Leningradskaia oblast',Severno-Zapadny,0,1,0,27.0,60.91,34.17,3710.0281,1167.5889,2081.2947,0,13335,17638,21500,23900,23295,20312,23559.683419999998,49774.66276,67033.03316,84790.37561,100057.1477,127317.1857,124672.6443,0.0,90.21480473,95.60558687,99.51674952,101.63933879999999,101.12301579999999,98.38590879,101.3503723,116.9698781,123.4974534,128.7756814,132.5606081,138.1667839,137.67377230000002,0,0,0,0,1,0,0,0,1
179,460,Priozersk,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,61.04,30-Nov,3725.8816,906.6121,1837.9144,0,0,13900,16700,19100,20557,20506,28450.10172,59292.260460000005,73504.58647000001,90421.25063,106496.1257,133410.6442,129569.32699999999,0.0,0.0,91.00480992,94.53991814,97.1691946,98.62390285,98.57457224,105.1836287,120.78524469999999,125.5543351,130.23909840000002,134.0006247,139.26801940000001,138.57930969999998,0,0,0,0,1,0,0,0,1
180,461,Slantsy,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.11,28-Sep,3493.9921,789.0481,1660.3999,0,7608,35303,41100,42300,43087,37371,26169.88101,53941.83075,68281.16218,84936.49722,100651.2262,126498.1508,123749.9345,0.0,79.86917547,109.6569873,112.86434879999999,113.4766588,113.86974170000002,110.85247679999999,103.4769985,118.7154403,123.90782549999999,128.8147632,132.69695910000002,138.01510380000002,137.4995017,0,0,0,0,1,0,0,0,1
181,463,Sosnovyi Bor,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.89,29-Jan,3586.8121,846.81,1742.799,0,0,1700,14000,42200,55800,66132,40854.78561,85060.34755,98654.90346,118385.7794,139001.6034,172375.1465,166132.966,0.0,0.0,55.32954954,91.14163098,113.4262382,119.4546074,123.19685849999999,112.7372361,128.8478402,132.2358143,136.46220569999997,140.2386659,145.3815812,144.493472,0,0,0,0,1,0,0,0,1
