,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
16,50,Il'inskii,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.0,32.68,3721.0,1067.9824,1993.48,0,0,0,0,NA,3334,25387.17178,53556.98216,69819.41608,87479.06927,103197.6585,129791.6257,0.0,0.0,0.0,0.0,NA,65.8033769,102.8601493,118.5594639,124.4042969,129.4851648,133.2732047,138.61967180000002,0,0,0,0,1,0,0,0,0
18,54,Liaskelia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.57,31.02,3790.8649,962.2404,1909.9014,0,0,0,0,NA,4416,23294.75809,48792.89192,63993.99748,80278.73533,94554.19619,119095.9153,0.0,0.0,0.0,0.0,NA,70.44227422,101.122807,116.53936409999999,122.46840870000001,127.53772250000002,131.2612096,136.601968,0,0,0,0,1,0,0,0,0
19,63,Shuia,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,61.95,34.23,3837.8025,1171.6929,2120.5485,0,0,0,0,NA,3594,21165.648830000002,45933.037130000004,64794.67377,83382.74246000001,98795.82264,124169.0388,0.0,0.0,0.0,0.0,NA,67.02731396,99.2042854,115.2389347,122.74376869999999,128.39601729999998,132.2686445,137.578804,0,0,0,0,1,0,0,0,0
20,65,Priazha,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,61.7,33.61,3806.89,1129.6321,2073.737,0,0,0,0,NA,4421,21506.42599,45993.66033,63001.965939999995,80172.04895,94737.05313,119618.5714,0.0,0.0,0.0,0.0,NA,70.46127062,99.52271192,115.26725400000001,122.12285959999998,127.50768799999999,131.3054833,136.70434630000003,0,0,0,0,1,0,0,0,0
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,63.7,34.13,4057.69,1164.8569,2174.081,0,4845,19708,28800,36400,38207,15804.659930000002,34091.85915,48007.63804,61425.70235,72550.44059,93564.70896,0.0,72.00714733,97.78796838,105.4345074,110.2988105,111.3188325,93.47138625,108.9270844,116.1893289,121.56349440000001,125.2616996,131.0202687,0,0,0,0,1,0,0,0,0
23,74,Nadvoitsy,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,63.89,34.26,4081.9321,1173.7476,2188.8714,0,0,0,0,NA,11514,15476.022509999999,33649.67516,48110.15014,61762.140179999995,73055.22305,93377.24134,0.0,0.0,0.0,0.0,NA,87.44716639,93.0655191,108.65474509999999,116.2353183,121.6839723,125.41694950000002,130.97435829999998,0,0,0,0,1,0,0,0,0
27,101,Inta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.03,60.17,4359.9609,3620.4289,3973.0251,0,0,45136,50200,50800,66356,9720.048282,21673.821930000002,34701.74675,44824.86208,53365.1628,71470.91941,0.0,0.0,114.8634223,117.15400359999998,117.4113463,123.27193390000002,84.30812986,99.67746946,109.2975175,114.7152006,118.48134040000001,124.92635559999998,0,0,0,0,1,0,0,0,0
29,106,Usinsk,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.01,57.55,4357.3201,3312.0025,3798.8755,0,0,0,700,19500,47219,10140.52306,22518.3197,36217.14649,46754.06765,55434.7976,74606.67113999999,0.0,0.0,0.0,42.91665356,97.5782375,115.83251770000001,85.08761566,100.442177,110.19305420000002,115.6196227,119.31111609999998,125.88806809999998,0,0,0,0,1,0,0,0,0
31,114,Vuktyl,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.87,57.32,4079.3769,3285.5824,3661.0284,0,0,100,7800,16800,19330,11400.77583,25451.673469999998,40952.69227,52843.01635,62659.54866,83264.33472,0.0,0.0,21.20759244,80.31527544,94.65605161,97.40532426,87.26243939,102.9116264,112.788071,118.26738329999999,122.0024376,128.3638147,0,0,0,0,1,0,0,0,0
32,116,Shchel'iaiur,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.33,53.43,4268.0089,2854.7649,3490.5819,0,0,0,0,NA,4122,11246.13632,24773.47829,38940.561239999995,50385.11221,59815.197889999996,79228.18346,0.0,0.0,0.0,0.0,NA,69.29053695,87.00747806,102.36439179999999,111.72049640000002,117.23369550000001,120.9783321,127.240371,0,0,0,0,1,0,0,0,0
33,117,Izhma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.01,53.93,4226.3001,2908.4449,3505.9893,0,0,0,0,NA,3595,11352.10928,25081.91059,39610.06541,51269.44229,60881.82121,80689.53841000001,0.0,0.0,0.0,0.0,NA,67.03186934,87.1825353,102.614918,112.0811503,117.61077560000001,121.36745649999999,127.6530338,0,0,0,0,1,0,0,0,0
34,120,Emva,Komi ASSR,Severno-Zapadny,0,1,1,7.0,62.56,50.83,3913.7536,2583.6889,3179.9248,0,0,13700,13500,15900,18782,14005.204,30984.6073,48698.87675,63239.21038,75005.04039,98902.38147000001,0.0,0.0,90.7285037,90.44856342,93.58771527,96.83847594,91.14872718,106.94136509999998,116.4977263,122.2059456,126.007598,132.29344129999998,0,0,0,0,1,0,0,0,0
35,122,Sindor,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.86,51.88,3951.3796,2691.5344,3261.1768,0,0,0,0,NA,2724,13443.08479,29778.020439999997,47134.08705,61102.09642,72471.1884,95590.74747,0.0,0.0,0.0,0.0,NA,62.56583249999999,90.3682208,106.12143449999999,115.79377790000001,121.44704420000001,125.23723570000001,131.511155,0,0,0,0,1,0,0,0,0
36,126,Koigorodok,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.46,51.02,3655.4116,2603.0404,3084.6692,0,0,0,0,NA,2923,16264.83686,36059.15132,56979.509470000005,73817.66814,87406.95736,114899.93400000001,0.0,0.0,0.0,0.0,NA,63.68623774,94.02717018,110.10128540000001,119.9122895,125.6496034,129.4663973,135.7648368,0,0,0,0,1,0,0,0,0
37,129,Kortkeros,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.8,51.6,3819.24,2662.56,3188.88,0,0,0,0,NA,4373,14602.698190000001,32576.873030000002,51902.511269999995,67853.04476,80734.67644,106441.3826,0.0,0.0,0.0,0.0,NA,70.27811855,91.94818453,107.980319,117.877108,123.7678398,127.6656713,133.988721,0,0,0,0,1,0,0,0,0
38,133,"Iz""iaiu",Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,56.98,4239.3121,3246.7204,3709.9678,0,0,0,0,NA,2588,10719.715709999999,23828.8883,40435.095010000005,52371.6295,62864.65666,84800.73288,0.0,0.0,0.0,0.0,NA,61.75823295,86.11542884,101.57926479999999,112.51806709999998,118.07257040000002,122.07464209999999,128.77845359999998,0,0,0,0,1,0,0,0,0
39,135,Kozhva,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,57.05,4239.3121,3254.7025,3714.5255,0,0,0,0,NA,5818,10706.923920000001,23803.435830000002,41269.0316,53488.73251,64409.590229999994,85628.12299,0.0,0.0,0.0,0.0,NA,75.14656495,86.09326986,101.55772370000001,112.95157090000001,118.5316966,122.6117236,128.99891770000002,0,0,0,0,1,0,0,0,0
40,137,Puteets,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.17,57.1,4247.1289,3260.41,3721.2070000000003,0,0,0,0,NA,1485,10663.96176,23706.5426,42155.41807,54679.71875,66096.16595,87673.00884,0.0,0.0,0.0,0.0,NA,53.336292799999995,86.01867402,101.4755301,113.40372479999999,119.01169509999998,123.1848269,129.5355686,0,0,0,0,1,0,0,0,0
41,140,Ob'iachevo,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.43,49.61,3651.7849,2461.1521,2997.9323,0,0,0,0,NA,5273,16889.41797,37195.78165,58124.02852000001,75311.04194,89120.27077999999,116894.8048,0.0,0.0,0.0,0.0,NA,73.45098036,94.75937175,110.75353700000001,120.3482375,126.09902109999999,129.90852479999998,136.16625430000002,0,0,0,0,1,0,0,0,0
