,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,mp1926,mp1939,mp1959,spop1926,spop1939,spop1959,smp1926,smp1939,smp1959,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,63.7,34.13,4057.69,1164.8569,2174.081,0,4845,19708,15804.659930000002,34091.85915,48007.63804,0.0,72.00714733,97.78796838,93.47138625,108.9270844,116.1893289,0,0,0,0,1,0,0,0,0
23,74,Nadvoitsy,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,63.89,34.26,4081.9321,1173.7476,2188.8714,0,NA,NA,15476.022509999999,33649.67516,48110.15014,0.0,NA,NA,93.0655191,108.65474509999999,116.2353183,0,0,0,0,1,0,0,0,0
24,77,Suoiarvi,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.09,32.38,3855.1681,1048.4644,2010.4742,0,NA,6700,20184.78082,42866.54907,57885.79482999999,0.0,NA,77.61368265,98.26130755,113.7602935,120.25814109999999,0,0,0,0,1,0,0,0,0
26,87,Vorkuta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,67.48,64.03,4553.5504,4099.8409,4320.7444,0,NA,84125,8637.603405,19311.50673,30742.65972,0.0,NA,128.59693959999998,82.15392862,97.38643173,106.7792906,0,0,0,0,1,0,0,0,0
27,101,Inta,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.03,60.17,4359.9609,3620.4289,3973.0251,0,NA,45136,9720.048282,21673.821930000002,34701.74675,0.0,NA,114.8634223,84.30812986,99.67746946,109.2975175,0,0,0,0,1,0,0,0,0
28,105,Pechora,Komi ASSR,Severno-Zapadny,0,1,0,1.0,65.14,57.23,4243.2196,3275.2729,3727.9622,0,NA,30586,10657.23968,23698.798919999997,37754.930389999994,0.0,NA,106.6737327,86.00697811,101.46894820000001,111.0678094,0,0,0,0,1,0,0,0,0
29,106,Usinsk,Komi ASSR,Severno-Zapadny,0,1,0,1.0,66.01,57.55,4357.3201,3312.0025,3798.8755,0,NA,NA,10140.52306,22518.3197,36217.14649,0.0,NA,NA,85.08761566,100.442177,110.19305420000002,0,0,0,0,1,0,0,0,0
30,108,Ukhta,Komi ASSR,Severno-Zapadny,0,1,0,7.0,63.57,53.67,4041.1449,2880.4689,3411.8019,0,2669,36154,12902.935529999999,28341.03097,44539.49775,0.0,62.24356567,110.1564202,89.59020271,105.104855,114.5784347,0,0,0,0,1,0,0,0,0
31,114,Vuktyl,Komi ASSR,Severno-Zapadny,0,1,1,7.0,63.87,57.32,4079.3769,3285.5824,3661.0284,0,NA,100,11400.77583,25451.673469999998,40952.69227,0.0,NA,21.20759244,87.26243939,102.9116264,112.788071,0,0,0,0,1,0,0,0,0
32,116,Shchel'iaiur,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.33,53.43,4268.0089,2854.7649,3490.5819,0,NA,NA,11246.13632,24773.47829,38940.561239999995,0.0,NA,NA,87.00747806,102.36439179999999,111.72049640000002,0,0,0,0,1,0,0,0,0
33,117,Izhma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.01,53.93,4226.3001,2908.4449,3505.9893,0,NA,NA,11352.10928,25081.91059,39610.06541,0.0,NA,NA,87.1825353,102.614918,112.0811503,0,0,0,0,1,0,0,0,0
34,120,Emva,Komi ASSR,Severno-Zapadny,0,1,1,7.0,62.56,50.83,3913.7536,2583.6889,3179.9248,0,NA,13700,14005.204,30984.6073,48698.87675,0.0,NA,90.7285037,91.14872718,106.94136509999998,116.4977263,0,0,0,0,1,0,0,0,0
35,122,Sindor,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.86,51.88,3951.3796,2691.5344,3261.1768,0,NA,NA,13443.08479,29778.020439999997,47134.08705,0.0,NA,NA,90.3682208,106.12143449999999,115.79377790000001,0,0,0,0,1,0,0,0,0
36,126,Koigorodok,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.46,51.02,3655.4116,2603.0404,3084.6692,0,NA,NA,16264.83686,36059.15132,56979.509470000005,0.0,NA,NA,94.02717018,110.10128540000001,119.9122895,0,0,0,0,1,0,0,0,0
37,129,Kortkeros,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.8,51.6,3819.24,2662.56,3188.88,0,NA,NA,14602.698190000001,32576.873030000002,51902.511269999995,0.0,NA,NA,91.94818453,107.980319,117.877108,0,0,0,0,1,0,0,0,0
38,133,"Iz""iaiu",Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,56.98,4239.3121,3246.7204,3709.9678,0,NA,NA,10719.715709999999,23828.8883,40435.095010000005,0.0,NA,NA,86.11542884,101.57926479999999,112.51806709999998,0,0,0,0,1,0,0,0,0
39,135,Kozhva,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,57.05,4239.3121,3254.7025,3714.5255,0,NA,NA,10706.923920000001,23803.435830000002,41269.0316,0.0,NA,NA,86.09326986,101.55772370000001,112.95157090000001,0,0,0,0,1,0,0,0,0
40,137,Puteets,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.17,57.1,4247.1289,3260.41,3721.2070000000003,0,NA,NA,10663.96176,23706.5426,42155.41807,0.0,NA,NA,86.01867402,101.4755301,113.40372479999999,0,0,0,0,1,0,0,0,0
