,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
321,741,Vladimir,Vladimirskaia oblast',Tcentralny,1,1,0,6.0,56.13,40.41,3150.5769,1632.9681,2268.2133,28479,36864,22364.81779,40852.99563,105.20445409999999,110.5650303,100.3051198,112.7363057,0,0,0,0,0,0,1,0,0
325,754,Kovrov,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,56.39,41.31,3179.8321,1706.5161,2329.4709,14571,25887,20994.53185,38014.70744,91.90651434,103.2560048,99.04264824,111.2123875,0,0,0,0,0,0,1,0,0
327,757,Murom,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,55.57,42.05,3088.0249,1768.2025,2336.7185,13271,22621,19832.35605,34797.75013,90.12343757,100.5333885,97.91241084,109.3552909,0,0,0,0,0,0,1,0,0
369,822,Ivanovo,Ivanovskaia oblast',Tcentralny,1,1,0,6.0,56.99,40.97,3247.8601,1678.5409,2334.8803,54208,111168,20737.31965,38921.23399,118.8227267,134.9964635,98.79744202,111.71000190000001,0,0,0,0,0,0,1,0,0
374,832,Shuia,Ivanovskaia oblast',Tcentralny,0,1,0,6.0,56.86,41.4,3233.0596,1713.96,2354.004,19583,35542,21179.324569999997,39719.69485,97.66216817,109.79834140000001,99.21715272,112.1396797,0,0,0,0,0,0,1,0,0
417,899,Kalinin,Kalininskaia oblast',Tcentralny,1,1,0,43.0,56.86,35.93,3233.0596,1290.9649,2042.9798,53544,106021,21002.05306,36602.863110000006,118.55418459999999,133.89712360000001,99.04977762,110.4155787,0,0,0,0,0,0,1,0,0
420,907,Vyshnii Volochek,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.59,34.55,3316.6081,1193.7025,1989.7345,16612,31191,18354.34118,30783.7869,94.43720345,107.0787213,96.38568999,106.80692179999998,0,0,0,0,0,0,1,0,0
426,913,Rzhev,Kalininskaia oblast',Tcentralny,0,1,0,43.0,56.26,34.33,3165.1876,1178.5489,1931.4058,21265,31864,19438.08479,32938.62808,99.29759394,107.52097490000001,97.51541869,108.20995390000002,0,0,0,0,0,0,1,0,0
469,997,Kaluga,Kaluzhskaia oblast',Tcentralny,1,1,0,15.0,54.51,36.27,2971.3401,1315.5129,1977.0777,49513,49357,22700.59663,38375.9517,116.8558955,116.7876801,100.6038385,111.4119575,0,0,0,0,0,0,1,0,0
504,1075,Kostroma,Kostromskaia oblast',Tcentralny,1,1,0,18.0,57.78,40.93,3338.5284,1675.2649,2364.9354,41336,72320,18118.47711,32997.34031,112.9860379,125.1904985,96.13189758,108.2470081,0,0,0,0,0,0,1,0,0
530,1145,Moskva,Moskovskii gorsovet,Tcentralny,1,1,0,24.0,55.75,37.62,3108.0625,1415.2644,2097.315,1048796,2111377,16805.38351,28583.383980000002,192.18702209999998,212.07662630000002,94.66228606,105.2795193,0,0,0,0,0,0,1,0,0
535,1194,Egor'evsk,Moskovskaia oblast',Tcentralny,0,1,0,35.0,55.38,39.03,3066.9444,1523.3409,2161.4814,19239,29942,28234.09162,51825.82264,97.31220247,106.2346088,105.0273547,117.84500249999999,0,0,0,0,0,0,1,0,0
536,1199,Zagorsk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,56.31,38.14,3170.8161,1454.6596,2147.6634,15155,21391,31330.81582,58993.29144,92.66152763,99.41536803,107.17130420000001,120.67415790000001,0,0,0,0,0,0,1,0,0
541,1213,Kolomna,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.09,38.78,3034.9081,1503.8884,2136.3902,20277,30564,28029.656089999997,49726.22187,98.35169916,106.6588699,104.8784574,116.9488179,0,0,0,0,0,0,1,0,0
550,1234,Serpukhov,Moskovskaia oblast',Tcentralny,0,1,0,24.0,54.92,37.42,3016.2064,1400.2564,2055.1064,30571,56501,28463.382019999997,49918.26532,106.6636,119.72766200000001,105.19320139999999,117.0322018,0,0,0,0,0,0,1,0,0
623,1412,Orel,Orlovskaia oblast',Tcentralny,1,1,0,29.0,52.97,36.07,2805.8209,1301.0449,1910.6279,69735,77985,18551.62889,29440.81438,124.377311,126.88381869999999,96.59573396,105.8869243,0,0,0,0,0,0,1,0,1
624,1416,Livny,Orlovskaia oblast',Tcentralny,0,1,0,29.0,52.43,37.62,2748.9049,1415.2644,1972.4166,20448,19873,18831.80344,29669.24337,98.5183365,97.95293096,96.89060198,106.04604850000001,0,0,0,0,0,0,1,0,1
626,1419,Bolkhov,Orlovskaia oblast',Tcentralny,0,1,1,29.0,53.44,36.01,2855.8336,1296.7201,1924.3744,21446,17532,20480.53137,32492.85838,99.46658178,95.48774420000001,98.54989596,107.9266585,0,0,0,0,0,0,1,0,1
647,1469,Riazan',Riazanskaia oblast',Tcentralny,1,1,0,35.0,54.62,39.74,2983.3444,1579.2676,2170.5988,46122,50919,22353.9904,38138.875530000005,115.32709479999998,117.46205790000002,100.2954204,111.28117730000001,0,0,0,0,0,0,1,0,0
648,1475,Kasimov,Riazanskaia oblast',Tcentralny,0,1,0,35.0,54.94,41.41,3018.4036,1714.7881,2275.0654,13547,13007,20255.45679,34707.52142,90.51468137,89.74233205,98.33061602,109.3009967,0,0,0,0,0,0,1,0,0
650,1478,Skopin,Riazanskaia oblast',Tcentralny,0,1,0,35.0,53.82,39.54,2896.5924,1563.4116,2128.0428,13247,10135,21589.394519999998,35038.48342,90.08907323,85.07756515,99.59955127,109.49952900000001,0,0,0,0,0,0,1,0,0
670,1518,Riazhsk,Riazanskaia oblast',Tcentralny,0,1,1,35.0,53.7,40.06,2883.69,1604.8036,2151.222,14835,16164,20796.53018,33687.88826,92.25111754,93.90660089,98.85413015,108.67840770000001,0,0,0,0,0,0,1,0,0
680,1539,Shatsk,Riazanskaia oblast',Tcentralny,0,1,1,42.0,54.02,41.73,2918.1604,1741.3929,2254.2546,13840,15106,19080.90865,31805.453019999997,90.92229373,92.59919006,97.14947979,107.4828383,0,0,0,0,0,0,1,0,0
683,1544,Smolensk,Smolenskaia oblast',Tcentralny,1,1,0,40.0,54.78,32.05,3000.8484,1027.2025,1755.6989999999998,46699,73109,15222.86145,25218.89313,115.5942798,125.4334314,92.74756302,102.72529370000001,0,0,0,0,0,0,1,0,1
684,1548,Viaz'ma,Smolenskaia oblast',Tcentralny,0,1,0,40.0,55.21,34.31,3048.1441,1177.1761,1894.2551,15645,19681,19223.14792,32339.718610000004,93.27516098,97.76085638,97.29594031,107.8285241,0,0,0,0,0,0,1,0,1
686,1550,Roslavl',Smolenskaia oblast',Tcentralny,0,1,0,40.0,53.95,32.86,2910.6025,1079.7796,1772.797,17776,25494,15822.560790000001,26084.86319,95.75805566,102.9453422,93.49327584,103.4108078,0,0,0,0,0,0,1,0,1
715,1610,Tula,Tul'skaia oblast',Tcentralny,1,1,0,44.0,54.19,37.62,2936.5561,1415.2644,2038.6278,114733,155005,22159.65861,37282.53613,135.7309573,142.83148390000002,100.12061109999999,110.8025769,0,0,0,0,0,0,1,0,1
763,1714,Iaroslavl',Iaroslavskaia oblast',Tcentralny,1,1,0,50.0,57.36,39.86,3290.1696,1588.8196,2286.3696,71616,114282,20166.88058,37889.216889999996,124.9716908,135.6392003,98.24371903,111.1426582,0,0,0,0,0,0,1,0,0
765,1722,Rostov,Iaroslavskaia oblast',Tcentralny,0,1,0,50.0,57.2,39.45,3271.84,1556.3025,2256.54,13715,20864,22820.86419,41030.8564,90.74935149,98.91854905,100.7098652,112.82857630000001,0,0,0,0,0,0,1,0,0
766,1723,Rybinsk,Iaroslavskaia oblast',Tcentralny,0,1,0,50.0,58.05,38.85,3369.8025,1509.3225,2255.2425,25290,55494,18402.86084,32236.849710000002,102.7823762,119.3344355,96.4375342,107.76236809999999,0,0,0,0,0,0,1,0,0
811,1817,Saransk,Mordovskaia ASSR,Privolzhskii,1,1,0,30.0,54.18,45.17,2935.4724,2040.3289,2447.3106,14584,15431,16083.80531,27655.73509,91.92361385,93.00931583,93.81023065,104.6035645,0,0,0,1,0,0,0,0,1
864,1950,Gor'kii,Gor'kovskaia oblast',Privolzhskii,1,1,0,25.0,56.33,44.01,3173.0689,1936.8801,2479.0833,91822,193407,16614.667380000003,28758.429360000002,130.5902063,148.1710236,94.44032401,105.40484550000001,0,0,0,1,0,0,0,0,0
946,2120,Kirov,Kirovskaia oblast',Privolzhskii,1,1,0,10.0,58.6,49.67,3433.96,2467.1089,2910.6620000000003,25008,62097,11114.24633,19342.15257,102.5551376,121.8032939,86.78753959,97.41773035,0,0,0,1,0,0,0,0,0
1014,2243,Belgorod,Belgorodskaia oblast',Tsentralny,1,1,0,20.0,50.6,36.61,2560.36,1340.2921,1852.4660000000001,26564,30565,14433.02945,23725.37087,103.7813298,106.6595457,91.7241882,101.49152559999999,0,0,0,0,0,0,1,0,0
1015,2246,Alekseevka,Belgorodskaia oblast',Tsentralny,0,1,0,9.0,50.64,38.71,2564.4096,1498.4641,1960.2744,13600,11712,16278.2487,25644.37948,90.5889941,87.76634215,94.04315600000001,103.0647223,0,0,0,0,0,0,1,0,0
1018,2250,Staryi Oskol,Belgorodskaia oblast',Tsentralny,0,1,0,20.0,51.3,37.85,2631.69,1432.6225,1941.705,15617,20180,16751.0711,26646.20104,93.24056353,98.25661135,94.5993065,103.8442903,0,0,0,0,0,0,1,0,0
1032,2275,Krasnogvardeiskoe,Belgorodskaia oblast',Tsentralny,0,0,1,20.0,50.65,38.43,2565.4225,1476.8649,1946.4795,13081,NA,16137.256780000002,25991.300890000002,89.84984995,NA,93.87451121,103.3377395,0,0,0,0,0,0,1,0,0
1044,2297,Voronezh,Voronezhskaia oblast',Tsentralny,1,1,0,9.0,51.65,39.2,2667.7225,1536.64,2024.68,80599,120017,16653.39792,26908.435989999998,127.62766599999999,136.7821163,94.48558427,104.0439805,0,0,0,0,0,0,1,0,0
1045,2308,Borisoglebsk,Voronezhskaia oblast',Tsentralny,0,1,0,9.0,51.36,42.07,2637.8496,1769.8849,2160.7152,22309,39768,15891.099769999999,26468.50895,100.2550717,112.1654227,93.57688217,103.70796899999999,0,0,0,0,0,0,1,0,0
1048,2313,Ostrogozhsk,Voronezhskaia oblast',Tsentralny,0,1,0,9.0,50.85,39.07,2585.7225,1526.4649,1986.7095,20983,22990,16264.207830000001,26276.44917,99.03171267,100.8581254,94.02642013,103.5596939,0,0,0,0,0,0,1,0,0
1055,2326,Buturlinovka,Voronezhskaia oblast',Tsentralny,0,1,1,9.0,50.83,40.58,2583.6889,1646.7364,2062.6814,23500,27548,15555.6472,25862.95296,101.2993073,104.52373940000001,93.16455975,103.2371184,0,0,0,0,0,0,1,0,0
1061,2340,Kalach,Voronezhskaia oblast',Tsentralny,0,1,1,9.0,50.42,41.02,2542.1764,1682.6404,2068.2284,16543,17572,14801.76714,24750.95397,94.35632381,95.53228808,92.20804186,102.3459863,0,0,0,0,0,0,1,0,0
1086,2394,Kursk,Kurskaia oblast',Tsentralny,1,1,0,20.0,51.73,36.19,2675.9929,1309.7161,1872.1087,75721,98780,16063.97248,25422.445519999997,126.220974,132.2649604,93.78633101,102.88831490000001,0,0,0,0,0,0,1,0,0
1121,2465,Lipetsk,Lipetskaia oblast',Tsentralny,1,1,0,42.0,52.6,39.57,2766.76,1565.7849,2081.382,20524,21416,19392.22833,31264.523719999997,98.59199563,99.43866167,97.46877697,107.1274537,0,0,0,0,0,0,1,0,0
1124,2475,Elets,Lipetskaia oblast',Tsentralny,0,1,0,29.0,52.62,38.51,2768.8644,1483.0201,2026.3962,46956,43239,19054.66502,30486.261639999997,115.71232340000002,113.94491059999999,97.12235017,106.6062739,0,0,0,0,0,0,1,0,0
1138,2514,Chaplygin,Lipetskaia oblast',Tsentralny,0,1,1,35.0,53.23,39.97,2833.4329,1597.6009,2127.6031,15331,9558,20327.0694,32855.023519999995,92.88395445,83.99967719,98.40062158,108.15708670000001,0,0,0,0,0,0,1,0,0
1139,2517,Tambov,Tambovskaia oblast',Tsentralny,1,1,0,42.0,52.72,41.42,2779.3984,1715.6164,2183.6624,48015,76399,17844.205319999997,29773.32335,116.19263459999999,126.4213493,95.83302005,106.1181844,0,0,0,0,0,0,1,0,1
1142,2524,Michurinsk,Tambovskaia oblast',Tsentralny,0,1,0,42.0,52.9,40.48,2798.41,1638.6304,2141.3920000000003,40297,54390,18955.43516,30891.028169999998,112.44550109999999,118.8958114,97.01946594,106.8788149,0,0,0,0,0,0,1,0,1
1143,2526,Morshansk,Tambovskaia oblast',Tsentralny,0,1,0,42.0,53.46,41.8,2857.9716,1747.24,2234.6279999999997,26458,27779,18359.72421,30670.20917,103.6998809,104.6945529,96.39144794,106.73053370000001,0,0,0,0,0,0,1,0,1
1179,2615,Kazan',Tatarskaia ASSR,Privolzhskii,1,1,0,14.0,55.8,49.1,3113.64,2410.81,2739.78,129959,187632,12532.7454,21894.17766,138.6500196,147.4339407,89.03998566,99.87955669,0,0,0,1,0,0,0,0,0
1189,2638,Chistopol',Tatarskaia ASSR,Privolzhskii,0,1,0,14.0,55.37,50.64,3065.8369,2564.4096,2803.9368,20104,17589,12914.71625,22410.79505,98.18182201,95.55119167,89.60747963,100.3462601,0,0,0,1,0,0,0,0,0
1232,2732,Astrakhan',Astrakhanskaia oblast',Yuzhny,1,1,0,2.0,46.35,48.05,2148.3225,2308.8025,2227.1175,112880,176530,8346.574478,14737.699019999998,135.3518311,145.95650759999998,81.53379339,92.12475312,0,1,0,0,0,0,0,0,0
1252,2779,Volgograd,Volgogradskaia oblast',Yuzhny,1,1,0,2.0,48.72,44.49,2373.6384,1979.3601,2167.5528,55186,148370,11618.27728,19838.111380000002,119.21286869999999,141.7877092,87.61586691,97.91815316,0,1,0,0,0,0,0,0,1
1254,2794,Kamyshin,Volgogradskaia oblast',Yuzhny,0,1,0,2.0,50.08,45.4,2508.0064,2061.16,2273.632,16264,18477,14829.412180000001,24404.8819,94.02617232,96.5165167,92.24388078,102.0612835,0,1,0,0,0,0,0,0,1
1265,2812,Dubovka,Volgogradskaia oblast',Yuzhny,0,1,1,2.0,49.06,44.81,2406.8836,2007.9361,2198.3786,16500,11296,12712.62471,23265.70577,94.30576736,87.09003075,89.30913119,101.09770999999999,0,1,0,0,0,0,0,0,1
1281,2841,Nikolaevsk,Volgogradskaia oblast',Yuzhny,0,1,1,2.0,50.02,45.46,2502.0004,2066.6116,2273.9092,17800,19201,14542.13119,24159.33445,95.78446344,97.27319925,91.86849292,101.8570647,0,1,0,0,0,0,0,0,1
1297,2875,Kuibyshev,Kuibyshevskaia oblast',Privolzhskii,1,1,0,36.0,53.2,50.16,2830.24,2516.0256,2668.512,89999,185283,12017.73352,21111.32796,130.1322846,147.1281584,88.24984062,99.15310164,0,0,0,1,0,0,0,0,0
1302,2903,Syzran',Kuibyshevskaia oblast',Privolzhskii,0,1,0,39.0,53.17,48.47,2827.0489,2349.3409,2577.1499,32383,50293,13861.7599,24403.61152,107.856302,117.194074,90.95225641,102.0602317,0,0,0,1,0,0,0,0,0
1327,2989,Penza,Penzenskaia oblast',Privolzhskii,1,1,0,30.0,53.2,45.01,2830.24,2025.9001,2394.532,59981,91924,15589.358330000001,26426.87246,121.03923190000002,130.61558200000002,93.20635426,103.6759071,0,0,0,1,0,0,0,0,0
1329,2997,Kuznetsk,Penzenskaia oblast',Privolzhskii,0,1,0,38.0,53.12,46.61,2821.7344,2172.4921,2475.9232,20473,29748,14972.27572,25539.18274,98.54259361,106.10065420000001,92.42814006,102.9812775,0,0,0,1,0,0,0,0,0
1361,3065,Saratov,Saratovskaia oblast',Privolzhskii,1,1,0,38.0,51.53,46.03,2655.3409,2118.7609,2371.9259,137147,215276,15830.88316,27069.05511,139.9207134,150.7904477,93.50344507,104.1654259,0,0,0,1,0,0,0,0,0
1363,3074,Balakovo,Saratovskaia oblast',Privolzhskii,0,1,0,36.0,52.02,47.8,2706.0804,2284.84,2486.556,18926,19131,14509.30395,24592.33583,96.98885368,97.20116928,91.82517586,102.2159443,0,0,0,1,0,0,0,0,0
1365,3077,Vol'sk,Saratovskaia oblast',Privolzhskii,0,1,0,38.0,52.05,47.37,2709.2025,2243.9169,2465.6085,27058,35272,14677.32184,24785.39198,104.15708790000001,109.63858929999999,92.04596521,102.3741208,0,0,0,1,0,0,0,0,0
1368,3081,Petrovsk,Saratovskaia oblast',Privolzhskii,0,1,0,38.0,52.32,45.39,2737.3824,2060.2521,2374.8048,13304,19192,15740.00699,26819.40122,90.17059787,97.26395148,93.39214156,103.9763787,0,0,0,1,0,0,0,0,0
1371,3085,Khvalynsk,Saratovskaia oblast',Privolzhskii,0,1,0,38.0,52.49,48.1,2755.2001,2313.61,2524.769,15127,13027,14204.676919999998,24348.940440000002,92.62592831,89.77144479,91.41896539,102.0149211,0,0,0,1,0,0,0,0,0
1372,3087,Engel's,Saratovskaia oblast',Privolzhskii,0,1,0,36.0,51.48,46.11,2650.1904,2126.1321,2373.7428,21599,34352,30463.69955,49990.48292,99.60843,109.08581559999999,106.5909862,117.06348290000001,0,0,0,1,0,0,0,0,0
1395,3135,Novouzensk,Saratovskaia oblast',Privolzhskii,0,1,1,36.0,50.45,48.13,2545.2025,2316.4969,2428.1585,13261,13952,11571.26785,20086.93128,90.10912585,91.07606644,87.53998283,98.16499024,0,0,0,1,0,0,0,0,0
1412,3171,Ul'ianovsk,Ul'ianovskaia oblast',Privolzhskii,1,1,0,39.0,54.32,48.38,2950.6624,2340.6244,2628.0016,41684,72274,13930.25867,24078.613419999998,113.1643343,125.17626070000001,91.04630288,101.7895214,0,0,0,1,0,0,0,0,0
1454,3250,Derbent,Dagestanskaia ASSR,Yuzhny,0,1,0,53.0,42.06,48.3,1769.0436,2332.89,2031.4979999999998,14649,23097,6542.738339,11549.23858,92.00890715,100.9514126,77.19574761,87.50432772,0,1,0,0,0,0,0,1,0
1511,3409,Ordzhonikidze,Severo-Osetinskaia ASSR,Yuzhny,1,1,0,59.0,43.03,44.67,1851.5809,1995.4089,1922.1501,43740,78347,7856.066895,14739.796209999999,114.190987,126.9881739,80.44370301,92.12748459999999,0,1,0,0,0,0,0,1,0
1526,3440,Groznyi,Checheno-Ingushskaia ASSR,Yuzhny,1,1,0,59.0,43.31,45.67,1875.7561,2085.7489,1977.9677,15564,70896,8206.586958,14611.56709,93.17492297,124.74587509999999,81.22862427,91.95982901,0,1,0,0,0,0,0,1,0
1543,3488,Krasnodar,Krasnodarskii krai,Yuzhny,1,1,0,56.0,45.04,38.97,2028.6016,1518.6609,1755.2088,76919,180520,10721.73078,18768.960219999997,126.57393470000001,146.49705680000002,86.11891736,96.82480753,0,1,0,0,0,0,0,0,0
1545,3500,Armavir,Krasnodarskii krai,Yuzhny,0,1,0,56.0,45.0,41.12,2025.0,1690.8544,1850.4,18113,74533,11469.8435,21066.98041,96.12596898,125.86589950000001,87.37531815,99.1112273,0,1,0,0,0,0,0,0,0
1549,3513,Eisk,Krasnodarskii krai,Yuzhny,0,1,0,56.0,46.69,38.28,2179.9561,1465.3584,1787.2932,35414,38094,12228.87681,21345.822030000003,109.72274440000001,111.2563394,88.57737477,99.37321145,0,1,0,0,0,0,0,0,0
1552,3517,Labinsk,Krasnodarskii krai,Yuzhny,0,1,0,56.0,44.64,40.73,1992.7296,1658.9329,1818.1872,19343,28831,11191.02958,20896.40048,97.4185952,105.45660159999998,86.91586413,98.94941784,0,1,0,0,0,0,0,0,0
1553,3519,Novorossiisk,Krasnodarskii krai,Yuzhny,0,1,0,56.0,44.75,37.77,2002.5625,1426.5729,1690.2075,16897,67955,10577.43168,18434.45609,94.76810999,123.8012498,85.8676131,96.47122837,0,1,0,0,0,0,0,0,0
1554,3526,Slaviansk-na-Kubani,Krasnodarskii krai,Yuzhny,0,1,0,56.0,45.26,38.12,2048.4676,1453.1344,1725.3112,15167,18931,11553.30755,20889.292019999997,92.67676643,96.99405664,87.51091804,98.94264911,0,1,0,0,0,0,0,0,0
1595,3620,Temriuk,Krasnodarskii krai,Yuzhny,0,1,1,56.0,45.28,37.38,2050.2784,1397.2644,1692.5664,14734,15861,10486.967209999999,18804.502480000003,92.11993448,93.54020528,85.70850036,96.86204318,0,1,0,0,0,0,0,0,0
1600,3637,Maikop,Adygeiskaia avtonomnaia oblast',Yuzhny,1,1,0,56.0,44.61,40.12,1990.0521,1609.6144,1789.7532,34327,53028,11061.06155,20332.43867,109.07060849999999,118.3434018,86.69818941,98.40586142,0,1,0,0,0,0,0,0,0
1610,3663,Stavropol',Stavropol'skii krai,Yuzhny,1,1,0,58.0,45.03,41.98,2027.7009,1762.3204,1890.3594,41590,58657,10488.89401,19580.24994,113.1163071,120.5485902,85.71190203,97.65939240000002,0,1,0,0,0,0,0,1,0
1619,3684,Piatigorsk,Stavropol'skii krai,Yuzhny,0,1,0,59.0,44.05,43.06,1940.4025,1854.1636,1896.793,18440,54672,10167.01509,20369.548730000002,96.47713523,119.00861499999999,85.13575639,98.44204292,0,1,0,0,0,0,0,1,0
1660,3791,Rostov-na-Donu,Rostovskaia oblast',Yuzhny,1,1,0,12.0,47.23,39.7,2230.6729,1576.09,1875.031,147903,308284,15375.55987,24992.11106,141.7126426,159.7386769,92.93990557,102.5422655,0,1,0,0,0,0,0,0,0
1661,3800,Azov,Rostovskaia oblast',Yuzhny,0,1,0,12.0,47.1,39.43,2218.41,1554.7249,1857.1529999999998,17024,17545,19203.133680000003,34610.00874,94.91395622,95.50223096,97.27539109,109.2421758,0,1,0,0,0,0,0,0,0
1662,3801,Bataisk,Rostovskaia oblast',Yuzhny,0,1,0,12.0,47.14,39.76,2222.1796,1580.8576,1874.2864,13742,22891,27219.11247,50458.51161,90.78682612,100.7714642,104.2782996,117.2652209,0,1,0,0,0,0,0,0,0
1671,3827,Novocherkassk,Rostovskaia oblast',Yuzhny,0,1,0,12.0,47.42,40.09,2248.6564,1607.2081,1901.0678,51963,62274,16486.08337,29898.15675,117.902401,121.86612859999998,94.28937983,106.20440430000001,0,1,0,0,0,0,0,0,0
1674,3837,Taganrog,Rostovskaia oblast',Yuzhny,0,1,0,12.0,47.22,38.89,2229.7284,1512.4321,1836.3858,51437,86465,14158.677459999999,24519.154580000002,117.6815565,129.21994229999999,91.35694993,102.1556922,0,1,0,0,0,0,0,0,0
1675,3842,Shakhty,Rostovskaia oblast',Yuzhny,0,1,0,12.0,47.71,40.22,2276.2441,1617.6484,1918.8962,16479,32691,15359.155380000002,27021.181060000003,94.28103403,108.05301229999999,92.91932437,104.12929609999999,0,1,0,0,0,0,0,0,0
1716,3954,Ufa,Bashkirskaia ASSR,Privolzhskii,1,1,0,45.0,54.73,55.99,2995.3729,3134.8801,3064.3327,49275,98537,9892.168999,17820.9023,116.75174479999998,132.2083133,84.63077657,95.80743670000001,0,0,0,1,0,0,0,0,0
1727,3985,Sterlitamak,Bashkirskaia ASSR,Privolzhskii,0,1,0,45.0,53.62,55.95,2875.1044,3130.4025,3000.039,15550,25337,9801.125483,17709.53042,93.15755051,102.820027,84.46074107,95.68475015,0,0,0,1,0,0,0,0,0
1793,4149,Izhevsk,Udmurtskaia ASSR,Privolzhskii,1,1,0,10.0,56.84,53.22,3230.7856,2832.3684,3025.0248,41074,63211,11222.87572,19585.17216,112.8509037,122.19608079999999,86.96885674,97.66436039,0,0,0,1,0,0,0,0,0
1794,4155,Votkinsk,Udmurtskaia ASSR,Privolzhskii,0,1,0,10.0,57.06,53.99,3255.8436,2914.9201,3080.6694,21621,19236,11234.49677,19837.36428,99.62875208,97.30912578,86.98816096,97.91740784,0,0,0,1,0,0,0,0,0
1797,4159,Sarapul,Udmurtskaia ASSR,Privolzhskii,0,1,0,10.0,56.47,53.8,3188.8609,2894.44,3038.086,21398,25335,11440.540309999998,20085.49816,99.42189272,102.8184262,87.32750165,98.16357642,0,0,0,1,0,0,0,0,0
1849,4295,Orenburg,Orenburgskaia oblast',Privolzhskii,1,1,0,28.0,51.77,55.1,2680.1329,3036.01,2852.527,72425,123283,8800.008136,15582.68185,125.22296680000001,137.4108591,82.49195021,93.19808329,0,0,0,1,0,0,0,0,0
1852,4303,Buzuluk,Orenburgskaia oblast',Privolzhskii,0,1,0,36.0,52.78,52.25,2785.7284,2730.0625,2757.755,14362,24536,11009.34137,19567.80577,91.62971429999999,102.16957579999999,86.61093120000001,97.64682751,0,0,0,1,0,0,0,0,0
1857,4314,Orsk,Orenburgskaia oblast',Privolzhskii,0,1,0,28.0,51.22,58.62,2623.4884,3436.3044,3002.5164,14016,13581,7509.792049,13527.70487,91.16344111,90.56238353,79.6371166,90.48756254,0,0,0,1,0,0,0,0,0
