,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
2547,6023,Zima,Irkutskaia oblast',Sibirskii,0,1,0,66.0,53.92,102.05,2907.3664,10414.2025,5502.536,3151,8051,2947.8094149999997,5727.704154,64.89067976,80.88397014,63.82120668,74.87562143,0,0,0,0,0,1,0,0,0
2556,6037,Cheremkhovo,Irkutskaia oblast',Sibirskii,0,1,0,66.0,53.15,103.08,2824.9225,10625.4864,5478.701999999999,2039,8973,3084.902968,6004.323934,58.06767315,82.84595522,64.54958254,75.69409157,0,0,0,0,0,1,0,0,0
2575,6071,Kirensk,Irkutskaia oblast',Sibirskii,0,1,1,66.0,57.79,108.09,3339.6841,11683.4481,6246.5211,2280,4700,2566.133319,4927.5902829999995,59.78275269,71.49239889,61.62494137,72.29429793,0,0,0,0,0,1,0,0,0
2609,6120,Balagansk,Irkutskaia oblast',Sibirskii,0,0,0,66.0,54.01,103.05,2917.0801,10619.3025,5565.7305,1314,NA,2950.590911,5817.820381,51.56433671,NA,63.83627665,75.14602968,0,0,0,0,0,1,0,0,0
2625,6159,Aksha,Chitinskaia oblast',Sibirskii,0,0,1,65.0,50.29,113.29,2529.0841,12834.6241,5697.3541,1627,NA,2271.1090710000003,4601.357416,54.67852831,NA,59.72234828,71.13415464,0,0,0,0,0,1,0,0,0
2657,6222,Sretensk,Chitinskaia oblast',Sibirskii,0,1,1,65.0,52.25,117.72,2730.0625,13857.9984,6150.87,1400,10252,2267.177517,4436.140211999999,52.4788323,85.28943783,59.69557188,70.51867731,0,0,0,0,0,1,0,0,0
2706,6317,Verkhoiansk,Iakutskaia ASSR,Dalnevostochny,0,1,0,71.0,67.55,133.39,4563.0025,17792.8921,9010.4945,354,400,2051.968212,3760.434265,34.44864625,35.89764742,58.16433682,67.77059413,0,0,1,0,0,0,0,0,0
2708,6322,Viliuisk,Iakutskaia ASSR,Dalnevostochny,0,1,1,71.0,63.75,121.61,4064.0625,14788.9921,7752.6375,611,1300,2229.568358,4146.829995,41.153469,51.41061427,59.43736603,69.39055709,0,0,1,0,0,0,0,0,0
2731,6365,Olekminsk,Iakutskaia ASSR,Dalnevostochny,0,1,1,71.0,60.38,120.43,3645.7444,14503.3849,7271.5634,1144,2300,2208.143094,4164.869347999999,49.59379453,59.91788538,59.28857108,69.4628932,0,0,1,0,0,0,0,0,0
2736,6375,Srednekolymsk,Iakutskaia ASSR,Dalnevostochny,0,1,1,71.0,67.45,153.69,4549.5025,23620.6161,10366.3905,538,700,1766.436361,3212.414928,39.53716527,42.91665356,55.9013336,65.20204374,0,0,1,0,0,0,0,0,0
2836,6575,Okhotsk,Khabarovskii krai,Dalnevostochny,0,0,1,67.0,59.36,143.22,3523.6096,20511.9684,8501.5392,304,NA,1743.661391,3237.855498,32.68440574,NA,55.70745105,65.32949785,0,0,1,0,0,0,0,0,0
2898,6698,Petropavlovsk-Kamchatskii,Kamchatskaia oblast',Dalnevostochny,1,1,0,67.0,53.06,158.62,2815.3636,25160.3044,8416.3772,395,1691,1422.952014,2621.8068129999997,35.74707499,55.25060914,52.71469871,61.962385399999995,0,0,1,0,0,0,0,0,0
2961,6822,Korsakov,Sakhalinskaia oblast',Dalnevostochny,0,1,0,68.0,46.64,142.77,2175.2896,20383.2729,6658.7928,1702,12035,1529.107739,2923.8538329999997,55.34704271,88.27681737,53.76467147,63.69089941,0,0,1,0,0,0,0,0,0
3004,6897,Baltiisk,Kaliningradskaia oblast',Severno-Zapadny,0,1,0,0.0,54.64,19.89,2985.5296,395.6121,1086.7896,2993,6893,11871.7082,18713.64506,64.06452038,78.11486958,88.02029879,96.7667307,0,0,0,0,1,0,0,0,0
