,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
12,42,Pindushi,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,62.93,34.56,3960.1849,1194.3936,2174.8608,0,0,0,0,0,6611,5190,4599,17804.91057,39192.83678,54813.37749,69727.33211,82328.06672,104509.6911,101696.1667,94569.18755,0.0,0.0,0.0,0.0,0.0,77.37823997,73.17928164,71.12551058,95.78986271,111.85704869999999,119.06496899999999,124.37485829999999,128.1077033,133.56505990000002,132.9350172,131.2648423,0,0,0,0,1,0,0,0,0
14,45,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,63.96,32.0,4090.8816,1024.0,2046.72,0,0,0,0,0,4400,4007,3328,15106.6159,32488.24099,45611.75055,58291.24437000001,68900.6165,88494.88453,86356.29025,80355.84419,0.0,0.0,0.0,0.0,0.0,70.38135819,68.82026629,65.77415674,92.59997473,107.9237057,115.0882815,120.4112758,124.1089668,129.74804709999998,129.1913419,127.55940770000001,0,0,0,0,1,0,0,0,0
15,49,Olonets,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,60.97,32.98,3717.3409,1087.6804,2010.7906,1701,3351,5000,7800,10400,11888,10240,9060,24952.66781,52757.24948,69180.96953999999,86763.73859,102295.7481,129042.7971,126038.8085,118270.0512,55.33829835,65.88591770000001,72.54257986,80.31527544,85.55438027,88.04603302,85.26780681,83.02169919,102.51027950000001,118.2320557,124.19945890000001,129.2983687,133.070607,138.48345600000002,137.9296428,136.4393566,0,0,0,0,1,0,0,0,0
17,52,Pitkiaranta,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.57,31.48,3790.8649,990.9904,1938.2236,0,0,0,10300,13800,14361,13347,11484,23051.54784,48483.29703,63639.7063,79583.10463999999,93769.84561,118442.6712,115527.1118,108651.5249,0.0,0.0,0.0,85.37573675,90.86710486,91.62838125,90.23189238,87.39837944,100.9118331,116.40197350000001,122.3455632,127.3412289,131.0704101,136.47343080000002,135.8917227,134.4649205,0,0,0,0,1,0,0,0,0
20,65,Priazha,Karel'skaia ASSR,Severno-Zapadny,0,0,1,27.0,61.7,33.61,3806.89,1129.6321,2073.737,0,0,0,0,0,4421,4269,3675,21506.42599,45993.66033,63001.965939999995,80172.04895,94737.05313,119618.5714,117071.222,109635.0088,0.0,0.0,0.0,0.0,0.0,70.46127062,69.87513606,67.3927446,99.52271192,115.26725400000001,122.12285959999998,127.50768799999999,131.3054833,136.70434630000003,136.2014517,134.6739831,0,0,0,0,1,0,0,0,0
21,68,Pudozh,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.82,36.54,3821.7124,1335.1716,2258.9028,2189,4595,7000,8000,8700,10982,10632,9698,19459.95912,41682.1513,58641.56747,75028.11919,88544.96153,112929.9584,110784.8463,102985.7633,59.15455894,71.11083465,78.38739151,80.76970669,82.28446161,86.56465507,85.96300419,84.26643233,97.53763278,113.16339070000001,120.5428121,126.014505,129.7609352,135.36212700000002,134.9162459,133.225752,0,0,0,0,1,0,0,0,0
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,63.7,34.13,4057.69,1164.8569,2174.081,0,4845,19708,28800,36400,38207,34214,29660,15804.659930000002,34091.85915,48007.63804,61425.70235,72550.44059,93564.70896,91292.25706,84821.97401,0.0,72.00714733,97.78796838,105.4345074,110.2988105,111.3188325,109.00174740000001,106.0396311,93.47138625,108.9270844,116.1893289,121.56349440000001,125.2616996,131.0202687,130.45800079999998,128.7841379,0,0,0,0,1,0,0,0,0
23,74,Nadvoitsy,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,63.89,34.26,4081.9321,1173.7476,2188.8714,0,0,0,0,0,11514,11073,8380,15476.022509999999,33649.67516,48110.15014,61762.140179999995,73055.22305,93377.24134,90924.65801,84433.08379,0.0,0.0,0.0,0.0,0.0,87.44716639,86.71827928,81.60598666,93.0655191,108.65474509999999,116.2353183,121.6839723,125.41694950000002,130.97435829999998,130.36584879999998,128.6798607,0,0,0,0,1,0,0,0,0
24,77,Suoiarvi,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.09,32.38,3855.1681,1048.4644,2010.4742,0,0,6700,9400,10500,11772,11600,9763,20184.78082,42866.54907,57885.79482999999,73304.97959,86536.84981,109729.3112,107244.4053,100410.1104,0.0,0.0,77.61368265,83.69441128,85.73149829,87.86211061,87.5863958,84.38911836,98.26130755,113.7602935,120.25814109999999,125.49340320000002,129.2388272,134.6939392,134.1627771,132.6417078,0,0,0,0,1,0,0,0,0
25,82,Syktyvkar,Komi ASSR,Severno-Zapadny,1,1,0,7.0,61.68,50.81,3804.4224,2581.6561,3133.9608,4980,24302,64461,125000,171000,234529,232086,250874,14862.55007,32761.50195,51352.83462,66208.52541,78242.51844,103004.069,100861.9449,92631.72131000001,72.47432174,101.9759442,122.6293935,137.73531599999998,145.18849430000003,152.901498,152.6426465,154.572181,92.28676183,108.09780409999999,117.6460289,123.2225326,126.95809969999999,133.22985500000001,132.7451461,130.7909459,0,0,0,0,1,0,0,0,0
