,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
245,588,Sol'tsy,Novgorodskaia oblast',Severno-Zapadny,0,1,1,26.0,58.12,30.32,3377.9344,919.3024,1762.1984,5500,4276,17420.87896,27251.703980000002,74.17521432,69.90252971,95.36351968,104.3027408,0,0,0,0,1,0,0,0,0
247,595,Kholm,Novgorodskaia oblast',Severno-Zapadny,0,1,1,26.0,57.15,31.18,3266.1225,972.1924,1781.9370000000001,5894,5484,15954.13536,25815.46002,75.37174409,74.12504067,93.65349034,103.1997712,0,0,0,0,1,0,0,0,0
251,602,Pskov,Pskovskaia oblast',Severno-Zapadny,1,1,0,34.0,57.82,28.34,3343.1524,803.1556,1638.6188,30478,40396,14356.50201,22520.48764,106.6006771,112.4975463,91.62238417,100.4441067,0,0,0,0,1,0,0,0,1
252,603,Velikie Luki,Pskovskaia oblast',Severno-Zapadny,0,1,0,34.0,56.35,30.54,3175.3225,932.6916,1720.9289999999999,8466,19624,14827.80609,23983.25516,81.79056120000001,97.70350999,92.24180030000001,101.7094672,0,0,0,0,1,0,0,0,1
253,604,Ostrov,Pskovskaia oblast',Severno-Zapadny,0,1,0,34.0,57.35,28.36,3289.0225,804.2896,1626.4460000000001,6268,7571,14190.33032,22386.59482,76.44376663,79.78206095,91.39964294,100.32461529999999,0,0,0,0,1,0,0,0,1
262,622,Nevel',Pskovskaia oblast',Severno-Zapadny,0,1,1,5.0,56.03,29.92,3139.3609,895.2064,1676.4176,9349,12290,13987.65659,22801.69197,83.59490002,88.67124822,91.12479001,100.6929969,0,0,0,0,1,0,0,0,1
265,628,Opochka,Pskovskaia oblast',Severno-Zapadny,0,1,1,34.0,56.71,28.66,3216.0241,821.3956,1625.3086,5735,6293,13533.7529,21685.31006,74.89765327,76.51338859,90.49606662,99.68805075,0,0,0,0,1,0,0,0,1
270,638,Porkhov,Pskovskaia oblast',Severno-Zapadny,0,1,1,34.0,57.76,29.54,3336.2176,872.6116,1706.2304,5551,7970,15860.098219999998,25018.12142,74.33428632,80.70219013,93.53910549,102.5633334,0,0,0,0,1,0,0,0,1
274,647,Sebezh,Pskovskaia oblast',Severno-Zapadny,0,1,1,5.0,56.3,28.47,3169.69,810.5409,1602.861,4326,5543,12969.6908,20884.09291,70.09705843,74.30941949999999,89.68791622,98.93769718,0,0,0,0,1,0,0,0,1
278,656,Briansk,Brianskaia oblast',Tcentralny,1,1,0,29.0,53.31,34.3,2841.9561,1176.49,1828.533,24781,25068,17355.988690000002,28236.5284,102.37053470000001,102.603679,95.29064818,105.0291236,0,0,0,0,0,0,1,0,1
279,664,Diat'kovo,Brianskaia oblast',Tcentralny,0,1,0,29.0,53.59,34.35,2871.8881,1179.9225,1840.8165,3800,7225,18582.055630000003,30024.27393,67.94303217,78.94860075,96.6279493,106.2911815,0,0,0,0,0,0,1,0,1
280,666,Klintsy,Brianskaia oblast',Tcentralny,0,1,0,48.0,52.76,32.26,2783.6176,1040.7076,1702.0376,12166,21453,14463.569959999999,23156.54194,88.48036952,99.47309141,91.76468117,101.0031554,0,0,0,0,0,0,1,0,1
281,669,Novozybkov,Brianskaia oblast',Tcentralny,0,1,0,48.0,52.54,31.94,2760.4516,1020.1636,1678.1276,15362,10715,13688.770390000001,22452.50963,92.92289466,86.10726265,90.71288283,100.38352049999999,0,0,0,0,0,0,1,0,1
298,698,Zlynka,Brianskaia oblast',Tcentralny,0,1,1,48.0,52.43,31.72,2748.9049,1006.1584,1663.0796,5300,6448,13641.76492,21730.7541,73.53855022,76.93965581,90.64737145,99.72985820000001,0,0,0,0,0,0,1,0,1
300,701,Karachev,Brianskaia oblast',Tcentralny,0,1,1,29.0,53.12,34.97,2821.7344,1222.9009,1857.6064,15493,11908,18348.85512,29112.14815,93.08667469,88.07758161,96.37982029,105.6560078,0,0,0,0,0,0,1,0,1
306,713,Mglin,Brianskaia oblast',Tcentralny,0,1,1,48.0,53.06,32.86,2815.3636,1079.7796,1743.5516,7649,6484,15402.87889,25082.735230000002,79.96526939,77.03735947,92.97413658,102.61558409999999,0,0,0,0,0,0,1,0,1
310,721,Pochep,Brianskaia oblast',Tcentralny,0,1,1,48.0,52.93,33.45,2801.5849,1118.9025,1770.5085,8300,13460,15922.67326,25573.5346,81.43277081,90.39213038,93.61528794,103.0085603,0,0,0,0,0,0,1,0,1
313,726,Sevsk,Brianskaia oblast',Tcentralny,0,1,1,29.0,52.16,34.48,2720.6656,1188.8704,1798.4768,9248,8574,15796.571000000002,25106.152869999998,83.39639359,82.02000473,93.46148762,102.63449109999999,0,0,0,0,0,0,1,0,1
314,728,Starodub,Brianskaia oblast',Tcentralny,0,1,1,48.0,52.58,32.77,2764.6564,1073.8729,1723.0466,12381,10919,14603.089909999999,23829.87783,88.81023647,86.45763289,91.94869897,101.5801018,0,0,0,0,0,0,1,0,1
317,733,Surazh,Brianskaia oblast',Tcentralny,0,1,1,48.0,53.02,32.4,2811.1204,1049.76,1717.848,4006,5778,15007.28144,24303.97734,68.81612519,75.02700239,92.47304859,101.9775875,0,0,0,0,0,0,1,0,1
318,735,Trubchevsk,Brianskaia oblast',Tcentralny,0,1,1,48.0,52.57,33.76,2763.6049,1139.7376,1774.7632,7416,11053,15655.14009,25105.89736,79.41296276,86.68461259,93.28767663,102.63428490000001,0,0,0,0,0,0,1,0,1
321,741,Vladimir,Vladimirskaia oblast',Tcentralny,1,1,0,6.0,56.13,40.41,3150.5769,1632.9681,2268.2133,28479,36864,22364.81779,40852.99563,105.20445409999999,110.5650303,100.3051198,112.7363057,0,0,0,0,0,0,1,0,0
322,747,Aleksandrov,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,56.4,38.73,3180.96,1500.0129,2184.3720000000003,6810,31384,27392.780430000003,50323.770339999995,77.90087791,107.20642360000001,104.40823459999999,117.20731699999999,0,0,0,0,0,0,1,0,0
323,750,Viazniki,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,56.24,42.13,3162.9376,1774.9369,2369.3912,8862,16979,19830.68809,35586.27415,82.61951475,94.86239044,97.91074637,109.8244325,0,0,0,0,0,0,1,0,0
324,752,Gus'-Khrustal'nyi,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,55.62,40.67,3093.5844,1654.0489,2262.0654,12007,17922,21993.26272,39113.41587,88.23305336,95.91821067,99.96983118,111.8141456,0,0,0,0,0,0,1,0,0
325,754,Kovrov,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,56.39,41.31,3179.8321,1706.5161,2329.4709,14571,25887,20994.53185,38014.70744,91.90651434,103.2560048,99.04264824,111.2123875,0,0,0,0,0,0,1,0,0
327,757,Murom,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,55.57,42.05,3088.0249,1768.2025,2336.7185,13271,22621,19832.35605,34797.75013,90.12343757,100.5333885,97.91241084,109.3552909,0,0,0,0,0,0,1,0,0
329,762,Suzdal',Vladimirskaia oblast',Tcentralny,0,1,0,6.0,56.41,40.44,3182.0881,1635.3936,2281.2204,6412,6559,22909.31234,41647.847310000005,76.84146764,77.2393745,100.7875196,113.1458745,0,0,0,0,0,0,1,0,0
349,790,Kirzhach,Vladimirskaia oblast',Tcentralny,0,1,1,6.0,56.16,38.88,3153.9456,1511.6544,2183.5008,4851,5028,28795.289039999996,54755.09492,72.02815308,72.6377375,105.4311479,119.04175320000002,0,0,0,0,0,0,1,0,0
355,800,Melenki,Vladimirskaia oblast',Tcentralny,0,1,1,6.0,55.34,41.63,3062.5156,1733.0569,2303.8042,8909,10817,20429.85956,35574.71548,82.71570137,86.28318483,98.50071841,109.8176237,0,0,0,0,0,0,1,0,0
368,820,Iur'ev-Pol'skii,Vladimirskaia oblast',Tcentralny,0,1,1,6.0,56.5,39.67,3192.25,1573.7089,2241.355,5759,8105,23812.84795,43809.5626,74.96995348,81.00425587,101.5656918,114.22495190000001,0,0,0,0,0,0,1,0,0
369,822,Ivanovo,Ivanovskaia oblast',Tcentralny,1,1,0,6.0,56.99,40.97,3247.8601,1678.5409,2334.8803,54208,111168,20737.31965,38921.23399,118.8227267,134.9964635,98.79744202,111.71000190000001,0,0,0,0,0,0,1,0,0
371,828,Kineshma,Ivanovskaia oblast',Tcentralny,0,1,0,18.0,57.45,42.13,3300.5025,1774.9369,2420.3685,7575,22345,17912.94435,33672.40831,79.79149694,100.2873634,95.90831120000001,108.668825,0,0,0,0,0,0,1,0,0
372,829,Teikovo,Ivanovskaia oblast',Tcentralny,0,1,0,6.0,56.85,40.53,3231.9225,1642.6809,2304.1305,5778,17521,22759.32906,41876.20395,75.02700239,95.47547864,100.6556795,113.26223200000001,0,0,0,0,0,0,1,0,0
374,832,Shuia,Ivanovskaia oblast',Tcentralny,0,1,0,6.0,56.86,41.4,3233.0596,1713.96,2354.004,19583,35542,21179.324569999997,39719.69485,97.66216817,109.79834140000001,99.21715272,112.1396797,0,0,0,0,0,0,1,0,0
385,848,Kokhma,Ivanovskaia oblast',Tcentralny,0,1,0,6.0,56.93,41.09,3241.0249,1688.3881,2339.2537,4017,11555,25996.58634,49242.52302,68.86162745,87.51365863,103.34187359999999,116.7374972,0,0,0,0,0,0,1,0,0
412,891,Iuzha,Ivanovskaia oblast',Tcentralny,0,1,1,6.0,56.59,42.0,3202.4281,1764.0,2376.78,3998,12890,20007.844269999998,36394.26222,68.78296356,89.57121595,98.08683289,110.2954993,0,0,0,0,0,0,1,0,0
416,896,Iur'evets,Ivanovskaia oblast',Tcentralny,0,1,1,18.0,57.33,43.1,3286.7289,1857.61,2470.923,4776,9278,16856.23032,30398.486969999998,71.76391746,83.45555664,94.72108168,106.54674170000001,0,0,0,0,0,0,1,0,0
417,899,Kalinin,Kalininskaia oblast',Tcentralny,1,1,0,43.0,56.86,35.93,3233.0596,1290.9649,2042.9798,53544,106021,21002.05306,36602.863110000006,118.55418459999999,133.89712360000001,99.04977762,110.4155787,0,0,0,0,0,0,1,0,0
418,905,Bezhetsk,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.78,36.7,3338.5284,1346.89,2120.526,9450,12911,18968.4148,32905.89453,83.79150559,89.60203111,97.03295106,108.18926940000001,0,0,0,0,0,0,1,0,0
419,906,Bologoe,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.88,34.04,3350.0944,1158.7216,1970.2352,10000,10872,17947.48298,29989.17874,84.83036977,86.37743143,95.94604413,106.26706670000002,0,0,0,0,0,0,1,0,0
420,907,Vyshnii Volochek,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.59,34.55,3316.6081,1193.7025,1989.7345,16612,31191,18354.34118,30783.7869,94.43720345,107.0787213,96.38568999,106.80692179999998,0,0,0,0,0,0,1,0,0
421,908,Kashin,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.36,37.6,3290.1696,1413.76,2156.736,7544,7838,21308.78523,37539.88442,79.71825197,80.40240791,99.33859166,110.94744340000001,0,0,0,0,0,0,1,0,0
422,909,Kimry,Kalininskaia oblast',Tcentralny,0,1,0,43.0,56.87,37.34,3234.1969,1394.2756,2123.5258,7017,18526,24032.39404,43159.61123,78.43034878,96.56856167,101.75075550000001,113.9056803,0,0,0,0,0,0,1,0,0
425,912,Ostashkov,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.14,33.12,3264.9796,1096.9344,1892.4768,10445,12892,17328.429819999998,28816.153489999997,85.63427051,89.57415267,95.25962568,105.4460229,0,0,0,0,0,0,1,0,0
426,913,Rzhev,Kalininskaia oblast',Tcentralny,0,1,0,43.0,56.26,34.33,3165.1876,1178.5489,1931.4058,21265,31864,19438.08479,32938.62808,99.29759394,107.52097490000001,97.51541869,108.20995390000002,0,0,0,0,0,0,1,0,0
427,914,Torzhok,Kalininskaia oblast',Tcentralny,0,1,0,43.0,57.04,34.95,3253.5616,1221.5025,1993.5479999999998,12698,14261,19765.44122,34081.411589999996,89.28737648,91.49465451,97.84553696,108.9206867,0,0,0,0,0,0,1,0,0
430,920,Belyi,Kalininskaia oblast',Tcentralny,0,1,1,40.0,55.83,32.94,3116.9889,1085.0436,1839.0402,6952,6911,17195.16924,28681.2485,78.26559894,78.16097571,95.10898911,105.3496719,0,0,0,0,0,0,1,0,0
443,941,Kaliazin,Kalininskaia oblast',Tcentralny,0,1,1,43.0,57.24,37.84,3276.4176,1431.8656,2165.9616,5496,4954,22105.398999999998,39137.34439,74.16268301,72.38522358,100.0715559,111.8270801,0,0,0,0,0,0,1,0,0
465,986,Staritsa,Kalininskaia oblast',Tcentralny,0,1,1,43.0,56.5,34.94,3192.25,1220.8036,1974.11,6368,3370,20863.43467,35938.19118,76.72079447,65.97773582,98.91801007,110.03078149999999,0,0,0,0,0,0,1,0,0
466,989,Toropets,Kalininskaia oblast',Tcentralny,0,1,1,34.0,56.5,31.64,3192.25,1001.0896,1787.66,7368,9726,15857.983919999999,26046.463330000002,79.29727211,84.31937126,93.53652671,103.3808477,0,0,0,0,0,0,1,0,0
469,997,Kaluga,Kaluzhskaia oblast',Tcentralny,1,1,0,15.0,54.51,36.27,2971.3401,1315.5129,1977.0777,49513,49357,22700.59663,38375.9517,116.8558955,116.7876801,100.6038385,111.4119575,0,0,0,0,0,0,1,0,0
470,1001,Kirov,Kaluzhskaia oblast',Tcentralny,0,1,0,15.0,54.07,34.3,2923.5649,1176.49,1854.601,4300,1223,18608.338330000002,30463.930860000004,69.99615202,50.53876445,96.65573887,106.59114299999999,0,0,0,0,0,0,1,0,0
471,1002,Liudinovo,Kaluzhskaia oblast',Tcentralny,0,1,0,15.0,53.88,34.43,2903.0544,1185.4249,1855.0884,7784,9934,18671.01287,30280.76257,80.27847521,84.70843415,96.72186473,106.4666523,0,0,0,0,0,0,1,0,0
475,1011,Borovsk,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,55.2,36.48,3047.04,1330.7904,2013.6960000000001,8414,5822,27757.18309,49307.67931,81.67915845,75.15848118,104.6784753,116.7660725,0,0,0,0,0,0,1,0,0
484,1023,Zhizdra,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,53.74,34.74,2887.9876,1206.8676,1866.9276,6004,6605,19110.94199,30774.52192,75.69315279,77.36226654,97.18048595,106.80070009999999,0,0,0,0,0,0,1,0,0
487,1035,Kozel'sk,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,54.03,35.79,2919.2409,1280.9241,1933.7337,5619,5336,21480.06409,34655.09065,74.54438447,73.65469902,99.49824163,109.26938840000001,0,0,0,0,0,0,1,0,0
491,1044,Medyn',Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,54.97,35.87,3021.7009,1286.6569,1971.7739,4387,5110,23807.2435,40562.95195,70.33172008,72.91374708,101.5609475,112.58505339999999,0,0,0,0,0,0,1,0,0
496,1055,Sukhinichi,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,54.1,35.35,2926.81,1249.6225,1912.435,5447,7342,20621.27399,33316.08015,74.00851672,79.23432671,98.68591644,108.4471356,0,0,0,0,0,0,1,0,0
504,1075,Kostroma,Kostromskaia oblast',Tcentralny,1,1,0,18.0,57.78,40.93,3338.5284,1675.2649,2364.9354,41336,72320,18118.47711,32997.34031,112.9860379,125.1904985,96.13189758,108.2470081,0,0,0,0,0,0,1,0,0
506,1083,Galich,Kostromskaia oblast',Tcentralny,0,1,0,18.0,58.38,42.34,3408.2244,1792.6756,2471.8092,6237,8856,15283.48907,27251.35751,76.35709304,82.60720295,92.82413708,104.3024811,0,0,0,0,0,0,1,0,0
517,1105,Makar'ev,Kostromskaia oblast',Tcentralny,0,1,1,18.0,57.88,34.8,3350.0944,1211.04,2014.224,6046,6516,18330.87834,30889.3013,75.814499,77.12380449,96.36057533,106.87765900000001,0,0,0,0,0,0,1,0,0
530,1145,Moskva,Moskovskii gorsovet,Tcentralny,1,1,0,24.0,55.75,37.62,3108.0625,1415.2644,2097.315,1048796,2111377,16805.38351,28583.383980000002,192.18702209999998,212.07662630000002,94.66228606,105.2795193,0,0,0,0,0,0,1,0,0
