,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1897,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1897,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1897,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
570,1282,Ozherel'e,Moskovskaia oblast',Tcentralny,0,1,0,24.0,54.8,38.28,3003.04,1465.3584,2097.744,NA,NA,5500,11900,12900,14500,16231,11113,10444,28401.74148,49080.7133,107085.4229,153491.3132,198331.3946,231984.6345,284497.0484,289551.7926,266786.7587,NA,NA,74.17521432,88.06496786,89.58589544,91.81288289,93.98678682,86.78545013,85.63249851,105.1487354,116.6663844,134.12841229999998,142.5970161,148.7837541,152.6318521,157.7153736,158.1580262,156.10515759999998,0,0,0,0,0,0,1,0,0
571,1284,Vysokovsk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,56.32,36.56,3171.9424,1336.6336,2059.0592,3700,8100,11500,11100,12200,11400,11611,10950,10642,27239.6415,49242.852510000004,108843.76800000001,152961.9129,194564.9463,228249.3976,279409.099,288466.0379,264431.0788,67.50410364,80.99314828,87.42441329,86.76364331,88.53287962,87.26116796,87.60413766,86.51036327,85.98043785,104.2936979,116.7376418,134.5059219,142.5145125,148.3163811,152.2310351,157.2624421,158.063548,155.88361310000002,0,0,0,0,0,0,1,0,0
572,1286,Reshetnikovo,Moskovskaia oblast',Tcentralny,0,0,0,24.0,56.45,36.57,3186.6025,1337.3649,2064.3765,NA,NA,NA,NA,NA,NA,4151,3219,3119,26398.79362,47657.85204,104531.4974,146382.519,186330.2491,218402.7366,268030.7823,275328.9364,252826.53100000002,NA,NA,NA,NA,NA,NA,69.40730299,65.23511874,64.72633263,103.6542595,116.031733,133.5698823,141.4667238,147.26492140000002,151.14479780000002,156.2214291,156.8937065,154.7650173,0,0,0,0,0,0,1,0,0
573,1288,Peski,Moskovskaia oblast',Tcentralny,0,0,0,24.0,54.62,38.8,2983.3444,1505.44,2119.256,NA,NA,NA,NA,NA,NA,4074,3736,3845,25914.765480000002,43816.548989999996,93609.41503999999,135517.9913,175081.055,205369.5672,254814.7487,257840.7541,237459.4772,NA,NA,NA,NA,NA,NA,69.09567119,67.66330524,68.13724706,103.277792,114.2283604,131.0312047,139.6381729,145.75743319999998,149.63568080000002,154.95997580000002,155.2540282,153.2087511,0,0,0,0,0,0,1,0,0
574,1297,Lotoshino,Moskovskaia oblast',Tcentralny,0,0,1,24.0,56.23,35.64,3161.8129,1270.2096,2004.0372,NA,NA,NA,NA,NA,NA,8752,5670,5558,23391.6667,40964.92694,88071.41648,123202.7115,157460.8384,184827.3615,228459.0903,233219.3487,214633.61800000002,NA,NA,NA,NA,NA,NA,82.39261022,74.70048784,74.3560188,101.20631850000001,112.79441570000002,129.6387943,137.39558630000002,143.207463,147.0684338,152.25369569999998,152.7630419,150.7170621,0,0,0,0,0,0,1,0,0
575,1299,Lukhovitsy,Moskovskaia oblast',Tcentralny,0,1,1,24.0,54.96,39.03,3020.6016,1523.3409,2145.0888,1700,NA,NA,12700,18100,27700,32501,32403,29849,27182.46012,47233.93708,102550.375,147280.1069,189000.5561,221104.6124,272607.0344,276846.0887,254918.3517,55.32954954,NA,NA,89.29035286,96.11189091,104.6362808,107.93186409999998,107.8691267,106.17049159999999,104.25078140000001,115.8393258,133.127969,141.6121787,147.6104775,151.447265,156.6449143,157.0313994,154.97009640000002,0,0,0,0,0,0,1,0,0
576,1300,Beloomut,Moskovskaia oblast',Tcentralny,0,0,0,24.0,54.94,39.34,3018.4036,1547.6356,2161.3396,NA,NA,NA,NA,NA,NA,8305,7029,6558,25748.044159999998,44309.12029,95197.9376,138548.4611,179027.5286,210391.7398,260026.0824,263510.2283,242824.3351,NA,NA,NA,NA,NA,NA,81.4436402,78.46061601,77.23669446,103.1466505,114.4674415,131.4167285,140.1613395,146.29615790000003,150.22734450000002,155.46442050000002,155.7965161,153.76232030000003,0,0,0,0,0,0,1,0,0
577,1306,Oktiabr'skii,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.39,36.7,3068.0521,1346.89,2032.8129999999999,NA,NA,NA,NA,NA,NA,8634,10135,13199,31783.477189999998,60855.778229999996,133691.7997,187647.1586,240328.8762,281634.3392,342522.6245,360309.5733,329650.0255,NA,NA,NA,NA,NA,NA,82.14636474,85.07756515,90.02017711,107.46850719999999,121.35802959999998,139.3177121,147.4359025,153.5062416,157.4614601,162.4119062,163.70483090000002,161.43701930000003,0,0,0,0,0,0,1,0,0
578,1309,Uvarovka,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.53,35.6,3083.5809,1267.36,1976.868,NA,NA,NA,NA,NA,NA,3675,3162,3353,23844.48247,41280.0647,88486.58664,124835.405,160109.7633,188213.8804,233246.9858,239246.5489,219911.0648,NA,NA,NA,NA,NA,NA,67.3927446,64.94683657,65.89560423,101.59245229999999,112.95725290000001,129.7459109,137.70439019999998,143.60702560000001,147.50914419999998,152.765971,153.3944147,151.31407190000002,0,0,0,0,0,0,1,0,0
579,1313,Aprelevka,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.54,37.08,3084.6916,1374.9264,2059.4232,NA,400,5700,14900,18000,21000,21178,18357,18467,42258.00043,79309.02182000001,179367.27,252271.0879,318626.0202,372754.2706,448700.5338,476937.0793,433640.1642,NA,35.89764742,74.79173431,92.33511976,96.00329343,99.04783175,99.21590678,96.38853418,96.50588005,113.4554956,127.263379,146.3420245,154.71030019999998,160.57383969999998,164.5748943,169.3670846,170.9592821,168.4796304,0,0,0,0,0,0,1,0,0
580,1314,Vereia,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.34,36.2,3062.5156,1310.44,2003.308,3707,3384,4900,6400,6200,6000,5606,4957,5368,26904.42185,47274.99203,102602.0616,145608.8258,186836.2893,219617.3206,271807.9176,281177.34,258162.5048,67.53516575,66.04510125,72.19884729,76.80862971,76.25314312,75.68155685,74.50439309,72.39552517,73.75736266,104.040937,115.8580283,133.139597,141.3406891,147.330754,151.2811899,156.5714379,157.420706,155.2851075,0,0,0,0,0,0,1,0,0
581,1316,Kievskii,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.43,36.91,3072.4849,1362.3481,2045.9213,NA,NA,NA,NA,NA,NA,7728,8256,8093,35230.960289999995,65586.53588,146373.8142,206719.3717,262930.8745,307977.6367,373253.7261,393347.6217,359180.9342,NA,NA,NA,NA,NA,NA,80.14914302,81.33686829999999,80.9775874,109.6142104,123.0130695,141.4653092,149.7959962,155.7415753,159.71354530000002,164.6092515,165.9574931,163.6245582,0,0,0,0,0,0,1,0,0
582,1319,Elektrougli,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.73,38.2,3105.8329,1459.24,2128.886,NA,NA,8500,14000,17200,19400,18645,16717,20120,46740.45467,90127.64444,207098.4343,292408.8566,366992.7714,428323.9078,511245.5397,542063.3585,494092.4246,NA,NA,81.86307285,91.14163098,95.11446803,97.4766887,96.69444364,94.55970477,98.19758823,115.61336029999998,130.1648752,149.84084430000001,158.4050876,164.1754658,168.159557,172.78064750000001,174.3228576,171.8846301,0,0,0,0,0,0,1,0,0
583,1321,rp im. Vorovskogo,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.73,38.32,3105.8329,1468.4224,2135.5736,NA,NA,NA,NA,NA,NA,5272,5347,5123,42162.32137,81445.36685,188695.5548,268324.6253,337127.554,393114.4414,469349.835,492718.4886,451698.9436,NA,NA,NA,NA,NA,NA,73.44772943,73.69005086,72.95714509999999,113.40721229999998,127.86380179999999,147.5712357,156.24882040000003,162.00749869999999,165.94221519999996,170.5401891,171.8116229,169.54048219999999,0,0,0,0,0,0,1,0,0
584,1322,Obukhovo,Moskovskaia oblast',Tcentralny,0,0,0,24.0,55.62,38.38,3093.5844,1473.0244,2134.6956,NA,3906,NA,NA,NA,NA,11359,10746,9578,39532.39745,75127.62912,171166.0086,242676.9796,305801.4506,357224.4091,428394.674,448493.4609,411283.3021,NA,68.39735118,NA,NA,NA,NA,87.19386753,86.16088669,84.03799735,112.03959579999999,126.04426409999998,145.2118793,153.7472664,159.5343631,163.4848509,168.16384159999998,169.35507019999997,167.1083,0,0,0,0,0,0,1,0,0
585,1324,Chernogolovka,Moskovskaia oblast',Tcentralny,0,0,0,24.0,56.01,38.39,3137.1201,1473.7921,2150.2239,NA,NA,NA,NA,NA,NA,18488,20284,22403,36498.65546,70220.31648,159226.4123,225077.4918,283097.7511,330316.3749,396819.685,413576.2524,377964.7823,NA,NA,NA,NA,NA,NA,96.52821105,98.35854533,100.3392905,110.35567009999998,124.53205120000001,143.4744591,151.8859064,157.5915555,161.4883381,166.1839982,167.2520699,164.9312524,0,0,0,0,0,0,1,0,0
