,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
21,68,Pudozh,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,61.82,36.54,3821.7124,1335.1716,2258.9028,2189,4595,7000,8000,8700,10982,10632,9698,19459.95912,41682.1513,58641.56747,75028.11919,88544.96153,112929.9584,110784.8463,102985.7633,59.15455894,71.11083465,78.38739151,80.76970669,82.28446161,86.56465507,85.96300419,84.26643233,97.53763278,113.16339070000001,120.5428121,126.014505,129.7609352,135.36212700000002,134.9162459,133.225752,0,0,0,0,1,0,0,0,0
23,74,Nadvoitsy,Karel'skaia ASSR,Severno-Zapadny,0,0,0,27.0,63.89,34.26,4081.9321,1173.7476,2188.8714,0,0,0,0,0,11514,11073,8380,15476.022509999999,33649.67516,48110.15014,61762.140179999995,73055.22305,93377.24134,90924.65801,84433.08379,0.0,0.0,0.0,0.0,0.0,87.44716639,86.71827928,81.60598666,93.0655191,108.65474509999999,116.2353183,121.6839723,125.41694950000002,130.97435829999998,130.36584879999998,128.6798607,0,0,0,0,1,0,0,0,0
24,77,Suoiarvi,Karel'skaia ASSR,Severno-Zapadny,0,1,1,27.0,62.09,32.38,3855.1681,1048.4644,2010.4742,0,0,6700,9400,10500,11772,11600,9763,20184.78082,42866.54907,57885.79482999999,73304.97959,86536.84981,109729.3112,107244.4053,100410.1104,0.0,0.0,77.61368265,83.69441128,85.73149829,87.86211061,87.5863958,84.38911836,98.26130755,113.7602935,120.25814109999999,125.49340320000002,129.2388272,134.6939392,134.1627771,132.6417078,0,0,0,0,1,0,0,0,0
32,116,Shchel'iaiur,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.33,53.43,4268.0089,2854.7649,3490.5819,0,0,0,0,0,4122,3551,NA,11246.13632,24773.47829,38940.561239999995,50385.11221,59815.197889999996,79228.18346,77190.46842,71232.38826,0.0,0.0,0.0,0.0,0.0,69.29053695,66.83037211,NA,87.00747806,102.36439179999999,111.72049640000002,117.23369550000001,120.9783321,127.240371,126.6532197,124.8516362,0,0,0,0,1,0,0,0,0
37,129,Kortkeros,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.8,51.6,3819.24,2662.56,3188.88,0,0,0,0,0,4373,4659,NA,14602.698190000001,32576.873030000002,51902.511269999995,67853.04476,80734.67644,106441.3826,104227.5945,96732.21529,0.0,0.0,0.0,0.0,0.0,70.27811855,71.34431015,NA,91.94818453,107.980319,117.877108,123.7678398,127.6656713,133.988721,133.5025925,131.7835528,0,0,0,0,1,0,0,0,0
39,135,Kozhva,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.11,57.05,4239.3121,3254.7025,3714.5255,0,0,0,0,0,5818,3549,3045,10706.923920000001,23803.435830000002,41269.0316,53488.73251,64409.590229999994,85628.12299,81522.83345,76576.05001,0.0,0.0,0.0,0.0,0.0,75.14656495,66.82116118,64.34055071,86.09326986,101.55772370000001,112.95157090000001,118.5316966,122.6117236,128.99891770000002,127.88530300000001,126.47340770000001,0,0,0,0,1,0,0,0,0
41,140,Ob'iachevo,Komi ASSR,Severno-Zapadny,0,0,1,7.0,60.43,49.61,3651.7849,2461.1521,2997.9323,0,0,0,0,0,5273,5835,NA,16889.41797,37195.78165,58124.02852000001,75311.04194,89120.27077999999,116894.8048,114748.9492,105816.4151,0.0,0.0,0.0,0.0,0.0,73.45098036,75.19715896,NA,94.75937175,110.75353700000001,120.3482375,126.09902109999999,129.90852479999998,136.16625430000002,135.73419619999999,133.85242639999998,0,0,0,0,1,0,0,0,0
43,144,Voivozh,Komi ASSR,Severno-Zapadny,0,0,0,7.0,62.9,54.96,3956.41,3020.6016,3456.9840000000004,0,0,0,0,0,5517,3920,3389,12660.42595,28226.61976,45231.35387,58536.341570000004,69419.04228,92006.90996,89773.82677999999,82981.62948999999,0.0,0.0,0.0,0.0,0.0,74.22838266,68.45654307,66.06910111,89.231381,105.0219298,114.9086621,120.503378,124.27604209999998,130.6361896,130.075137,128.28676000000002,0,0,0,0,1,0,0,0,0
44,146,Nizhnii Odes,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.65,54.85,4051.3225,3008.5225,3491.2025,0,0,0,0,0,12594,11745,9681,12185.24364,27066.20868,43408.86397,56389.96276,67003.55611,88796.88478,86494.41096000001,80288.42187,0.0,0.0,0.0,0.0,0.0,89.13202385,87.81906889,84.23422435,88.51010576,104.16327940000001,114.028631,119.6846165,123.48767790000001,129.82567079999998,129.22767439999998,127.5404477,0,0,0,0,1,0,0,0,0
45,149,Vyl'gort,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.21,54.17,3870.0841,2934.3889,3369.9157,0,0,0,0,0,8965,10211,NA,13420.283140000001,29956.45307,47910.08922,61931.27643,73367.36125,96881.36701,94632.09281,87420.5683,0.0,0.0,0.0,0.0,0.0,82.8297188,85.21543837,NA,90.33594812,106.2445571,116.14548329999998,121.74431440000001,125.51246210000001,131.8189291,131.2800796,129.46994070000002,0,0,0,0,1,0,0,0,0
