,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
66,200,Dvinskoi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,62.16,45.12,3863.8656,2035.8144,2804.6592,0,0,0,0,0,3263,2958,16202.81435,35298.87365,53006.574689999994,68531.83982000001,80947.20836,105738.6663,103609.2299,0.0,0.0,0.0,0.0,0.0,65.45460932,63.87635807,93.95309034,109.6545392,118.3346094,123.9894216,127.7250883,133.83541929999998,133.36511979999997,0,0,0,0,1,0,0,0,0
68,204,Il'insko-Podomskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.12,47.98,3735.6544,2302.0804,2932.5376,0,0,0,0,0,3365,2973,16736.63289,36663.7661,56598.099,73514.32051,86897.47567,113717.1387,111507.4071,0.0,0.0,0.0,0.0,0.0,65.95361725,63.95723631,94.58253342,110.4505203,119.76524109999998,125.5573027,129.3333983,135.5238099,135.0673114,0,0,0,0,1,0,0,0,0
72,213,Voloshka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.33,40.1,3761.3689,1608.01,2459.333,0,0,0,0,0,2448,1624,19428.453380000003,41848.45977,60426.044420000006,77566.592,91326.0351,117695.6788,115611.8017,0.0,0.0,0.0,0.0,0.0,60.887224800000006,54.65123737,97.50563056,113.2481259,121.201945,126.7626513,130.46645149999998,136.32565019999998,135.9088083,0,0,0,0,1,0,0,0,0
74,215,Podiuga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.09,40.86,3731.9881,1669.5396,2496.1374,0,0,0,0,0,3569,3095,19635.40874,42237.06248,61333.82423,78832.6392,92875.02629,119921.719,117887.7968,0.0,0.0,0.0,0.0,0.0,66.91306624,64.60210045,97.71500003,113.4449379,121.5304887,127.12748300000001,130.8509513,136.76353980000002,136.3637395,0,0,0,0,1,0,0,0,0
75,217,Sol'vychegodsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.33,46.92,3761.3689,2201.4864,2877.6036,2129,3000,3500,3900,4100,4004,2843,17127.36213,37850.34804,59287.85517,78385.03876,92560.85171,120456.5764,117800.7466,58.72781704,64.10192163,66.59405807,68.37192611,69.20147267,68.80784024,63.24408711,95.03193792,111.12101809999999,120.78361159999999,126.9991139,130.7734405,136.8676447,136.346488,0,0,0,0,1,0,0,0,0
76,218,Privodino,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.07,46.49,3729.5449,2161.3201,2839.1443,0,0,0,0,0,3154,3264,17871.96023,39057.36419,59650.110889999996,77300.60191,91029.87978999999,118675.7358,116165.6908,0.0,0.0,0.0,0.0,0.0,64.90601226,65.45956753,95.86345181,111.783819,120.91754240000002,126.6853128,130.3922611,136.5193646,136.02026980000002,0,0,0,0,1,0,0,0,0
77,219,Udimskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.14,46.92,3738.0996,2201.4864,2868.6888,0,0,0,0,0,3473,2697,17521.59022,38496.20269,59524.13012,77729.18763,91625.24373999999,119466.3403,116866.5435,0.0,0.0,0.0,0.0,0.0,66.46772476,62.40834612,95.47613694,111.47801319999999,120.8710496,126.80980819999999,130.5411842,136.67456940000002,136.1606113,0,0,0,0,1,0,0,0,0
78,220,Kharitonovo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.41,47.5,3771.1881,2256.25,2916.975,0,0,0,0,0,2152,1457,16585.04557,36322.869380000004,56185.31555,73477.86409,86894.76257,113352.5848,111091.7926,0.0,0.0,0.0,0.0,0.0,58.89262306,53.05861987,94.40564424,110.2542595,119.6050793,125.5461866,129.3326881,135.44906,134.98052869999998,0,0,0,0,1,0,0,0,0
79,221,Cheremushskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.27,47.27,3754.0129,2234.4529,2896.2329,0,0,0,0,0,1667,1136,17001.99564,37242.63534,58316.771570000004,77453.99569,91724.09446000001,118761.1424,116418.2412,0.0,0.0,0.0,0.0,0.0,55.03830979,49.49500426,94.88875659,110.78003490000002,120.4208848,126.7299426,130.565825,136.5361764,136.0709305,0,0,0,0,1,0,0,0,0
83,228,Iarensk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.17,49.11,3865.1089,2411.7921,3053.1687,949,0,0,0,0,4246,4085,14907.775319999999,32848.83919,51163.902689999995,66395.33034,78661.8638,103699.7753,101471.5221,46.996629799999994,0.0,0.0,0.0,0.0,69.78484906,69.14050564,92.34514614,108.1531712,117.56608490000002,123.28509199999999,127.0785842,133.3852963,132.88402779999998,0,0,0,0,1,0,0,0,0
