,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1897,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1897,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1897,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,log_pop1897,log_pop1926,log_pop1939,log_pop1959,log_pop1970,log_pop1979,log_pop1989,log_pop2002,log_pop2010,lag_log_pop1897,lag_log_pop1926,lag_log_pop1939,lag_log_pop1959,lag_log_pop1970,lag_log_pop1979,lag_log_pop1989,lag_log_pop2002,lag_log_pop2010,log_mp1897,log_mp1926,log_mp1939,log_mp1959,log_mp1970,log_mp1979,log_mp1989,log_mp2002,log_mp2010
10,39,Chupa,Karel'skaia ASSR,Severno-Zapadny,,,,1.0,66.28,33.06,"4393,0384","1092,9636","2191,2168",,,,,,,5214,4061,2923,7125.842563,12048.55989,26699.2539,38849.47654,50027.4968,59188.83786,77256.17811,74651.20462,69152.42543,,,,,,,73.25823722,69.04254752,63.68623774,78.7032151,88.2979788,103.8848323,111.670997,117.0794995,120.7468741,126.6723726,125.9014591,124.1902608,,,,,,,8.559102594,8.309184528,7.980365765,,,,,,,7.875499292,7.864419905,7.64921632,7391.733694,12359.12337,26987.92026,38801.5592,49850.29508,58987.49669,76605.87028,74390.19186,69019.66296
11,41,Medvezh'egorsk,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,62.91,34.44,"3957,6681","1186,1136","2166,6204",,2092,12108,15824,17500,20300,20373,17283,15536,10640.65566,17510.1431,37438.51883,52473.8925,67142.42694,79332.9528,102470.5708,99939.36892,93004.24333,,58.45941713,88.39049003,93.49503478,95.45204337,98.37418575,98.44540482,95.20838938,93.14016401,85.97809502,95.46336586,110.8904903,118.1149681,123.5336978,127.270186,133.1100048,132.5334881,130.8827613,,7.645875825,9.40162167,9.669283054,9.76995616,9.918376165,9.921965774,9.757478638,9.650915191,,,,,,,8.559102594,8.309184528,7.980365765,7125.842563,12048.55989,26699.2539,38849.47654,50027.4968,59188.83786,77256.17811,74651.20462,69152.42543
12,42,Pindushi,Karel'skaia ASSR,Severno-Zapadny,,,,27.0,62.93,34.56,"3960,1849","1194,3936","2174,8608",,,,,,,6611,5190,4599,10611.16645,17804.91057,39192.83678,54813.37749,69727.33211,82328.06672,104509.6911,101696.1667,94569.18755,,,,,,,77.37823997,73.17928164,71.12551058,85.92663664,95.78986271,111.8570487,119.064969,124.3748583,128.1077033,133.5650599,132.9350172,131.2648423,,,,,,,8.796490207,8.554488976,8.433594168,,7.645875825,9.40162167,9.669283054,9.76995616,9.918376165,9.921965774,9.757478638,9.650915191,10640.65566,17510.1431,37438.51883,52473.8925,67142.42694,79332.9528,102470.5708,99939.36892,93004.24333
13,43,Povenets,Karel'skaia ASSR,Severno-Zapadny,,,,27.0,62.86,34.82,"3951,3796","1212,4324","2188,7852",1294,2103,,,,,4208,2608,2209,10592.64915,17582.6785,38223.81049,53616.07522,68504.09212,80918.51346,103434.2558,100959.0135,93931.35249,51.34429674,58.53963994,,,,,69.63473164,61.87928805,59.29454622,85.89425889,95.54416423,111.328115,118.5834799,123.980403,127.7170744,133.3260841,132.7673127,131.1098167,7.165493475,7.651120176,,,,,8.344742754,7.866338923,7.700295203,,,,,,,8.796490207,8.554488976,8.433594168,10611.16645,17804.91057,39192.83678,54813.37749,69727.33211,82328.06672,104509.6911,101696.1667,94569.18755
14,45,Muezerskii,Karel'skaia ASSR,Severno-Zapadny,,,1,27.0,63.96,32.0,"4090,8816",1024,"2046,72",,,,,,,4400,4007,3328,9191.107385,15106.6159,32488.24099,45611.75055,58291.24437,68900.6165,88494.88453,86356.29025,80355.84419,,,,,,,70.38135819,68.82026629,65.77415674,83.28372464,92.59997473,107.9237057,115.0882815,120.4112758,124.1089668,129.7480471,129.1913419,127.5594077,,,,,,,8.38935982,8.295798111,8.110126802,7.165493475,7.651120176,,,,,8.344742754,7.866338923,7.700295203,10592.64915,17582.6785,38223.81049,53616.07522,68504.09212,80918.51346,103434.2558,100959.0135,93931.35249
15,49,Olonets,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,60.97,32.98,"3717,3409","1087,6804","2010,7906",1246,1701,3351,5000,7800,10400,11888,10240,9060,15977.64954,24952.66781,52757.24948,69180.96954,86763.73859,102295.7481,129042.7971,126038.8085,118270.0512,50.80401747,55.33829835,65.8859177,72.54257986,80.31527544,85.55438027,88.04603302,85.26780681,83.02169919,93.68199801,102.5102795,118.2320557,124.1994589,129.2983687,133.070607,138.483456,137.9296428,136.4393566,7.127693699,7.438971592,8.117014088,8.517193191,8.961879013,9.249561085,9.383284767,9.234056899,9.111624399,,,,,,,8.38935982,8.295798111,8.110126802,9191.107385,15106.6159,32488.24099,45611.75055,58291.24437,68900.6165,88494.88453,86356.29025,80355.84419
16,50,Il'inskii,Karel'skaia ASSR,Severno-Zapadny,,,,27.0,61.0,32.68,3721,"1067,9824","1993,48",,,,,,,3334,3204,,16395.50306,25387.17178,53556.98216,69819.41608,87479.06927,103197.6585,129791.6257,126619.2634,119106.291,,,,,,,65.8033769,65.15969132,,94.18241271,102.8601493,118.5594639,124.4042969,129.4851648,133.2732047,138.6196718,138.0375896,136.6040044,,,,,,,8.111928063,8.072155308,,7.127693699,7.438971592,8.117014088,8.517193191,8.961879013,9.249561085,9.383284767,9.234056899,9.111624399,15977.64954,24952.66781,52757.24948,69180.96954,86763.73859,102295.7481,129042.7971,126038.8085,118270.0512
17,52,Pitkiaranta,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,61.57,31.48,"3790,8649","990,9904","1938,2236",,,,,10300,13800,14361,13347,11484,14911.5156,23051.54784,48483.29703,63639.7063,79583.10464,93769.84561,118442.6712,115527.1118,108651.5249,,,,,85.37573675,90.86710486,91.62838125,90.23189238,87.39837944,92.34996761,100.9118331,116.4019735,122.3455632,127.3412289,131.0704101,136.4734308,135.8917227,134.4649205,,,,,9.239899174,9.532423871,9.572271478,9.499046919,9.348710041,,,,,,,8.111928063,8.072155308,,16395.50306,25387.17178,53556.98216,69819.41608,87479.06927,103197.6585,129791.6257,126619.2634,119106.291
18,54,Liaskelia,Karel'skaia ASSR,Severno-Zapadny,,,,27.0,61.57,31.02,"3790,8649","962,2404","1909,9014",,,,,,,4416,3668,,15127.50158,23294.75809,48792.89192,63993.99748,80278.73533,94554.19619,119095.9153,116073.636,109501.1376,,,,,,,70.44227422,67.36144485,,92.62656655,101.122807,116.5393641,122.4684087,127.5377225,131.2612096,136.601968,136.001779,134.6456267,,,,,,,8.392989588,8.207401833,,,,,,9.239899174,9.532423871,9.572271478,9.499046919,9.348710041,14911.5156,23051.54784,48483.29703,63639.7063,79583.10464,93769.84561,118442.6712,115527.1118,108651.5249
19,63,Shuia,Karel'skaia ASSR,Severno-Zapadny,,,,27.0,61.95,34.23,"3837,8025","1171,6929","2120,5485",,,,,,,3594,3349,,12856.08269,21165.64883,45933.03713,64794.67377,83382.74246,98795.82264,124169.0388,121635.0183,114184.0032,,,,,,,67.02731396,65.8762261,,89.52135113,99.2042854,115.2389347,122.7437687,128.3960173,132.2686445,137.578804,137.0955334,135.6192189,,,,,,,8.187021067,8.116417073,,,,,,,,8.392989588,8.207401833,,15127.50158,23294.75809,48792.89192,63993.99748,80278.73533,94554.19619,119095.9153,116073.636,109501.1376
20,65,Priazha,Karel'skaia ASSR,Severno-Zapadny,,,1,27.0,61.7,33.61,"3806,89","1129,6321","2073,737",,,,,,,4421,4269,3675,13362.28896,21506.42599,45993.66033,63001.96594,80172.04895,94737.05313,119618.5714,117071.222,109635.0088,,,,,,,70.46127062,69.87513606,67.3927446,90.25364351,99.52271192,115.267254,122.1228596,127.507688,131.3054833,136.7043463,136.2014517,134.6739831,,,,,,,8.394121194,8.359134887,8.209308412,,,,,,,8.187021067,8.116417073,,12856.08269,21165.64883,45933.03713,64794.67377,83382.74246,98795.82264,124169.0388,121635.0183,114184.0032
21,68,Pudozh,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,61.82,36.54,"3821,7124","1335,1716","2258,9028",1455,2189,4595,7000,8000,8700,10982,10632,9698,11708.20751,19459.95912,41682.1513,58641.56747,75028.11919,88544.96153,112929.9584,110784.8463,102985.7633,53.0386104,59.15455894,71.11083465,78.38739151,80.76970669,82.28446161,86.56465507,85.96300419,84.26643233,87.76027408,97.53763278,113.1633907,120.5428121,126.014505,129.7609352,135.362127,134.9162459,133.225752,7.28276118,7.691200098,8.432724035,8.853665428,8.987196821,9.071078305,9.304012848,9.2716236,9.179674958,,,,,,,8.394121194,8.359134887,8.209308412,13362.28896,21506.42599,45993.66033,63001.96594,80172.04895,94737.05313,119618.5714,117071.222,109635.0088
22,72,Segezha,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,63.7,34.13,"4057,69","1164,8569","2174,081",,,4845,19708,28800,36400,38207,34214,29660,9514.185013,15804.65993,34091.85915,48007.63804,61425.70235,72550.44059,93564.70896,91292.25706,84821.97401,,,72.00714733,97.78796838,105.4345074,110.2988105,111.3188325,109.0017474,106.0396311,83.91547703,93.47138625,108.9270844,116.1893289,121.5634944,125.2616996,131.0202687,130.4580008,128.7841379,,,8.485702524,9.888779924,10.26813067,10.50232405,10.55077402,10.4403902,10.29755462,7.28276118,7.691200098,8.432724035,8.853665428,8.987196821,9.071078305,9.304012848,9.2716236,9.179674958,11708.20751,19459.95912,41682.1513,58641.56747,75028.11919,88544.96153,112929.9584,110784.8463,102985.7633
23,74,Nadvoitsy,Karel'skaia ASSR,Severno-Zapadny,,,,27.0,63.89,34.26,"4081,9321","1173,7476","2188,8714",,,,,,,11514,11073,8380,9279.264132,15476.02251,33649.67516,48110.15014,61762.14018,73055.22305,93377.24134,90924.65801,84433.08379,,,,,,,87.44716639,86.71827928,81.60598666,83.4580459,93.0655191,108.6547451,116.2353183,121.6839723,125.4169495,130.9743583,130.3658488,128.6798607,,,,,,,9.351318965,9.312264992,9.033603193,,,8.485702524,9.888779924,10.26813067,10.50232405,10.55077402,10.4403902,10.29755462,9514.185013,15804.65993,34091.85915,48007.63804,61425.70235,72550.44059,93564.70896,91292.25706,84821.97401
24,77,Suoiarvi,Karel'skaia ASSR,Severno-Zapadny,,1,1,27.0,62.09,32.38,"3855,1681","1048,4644","2010,4742",,,,6700,9400,10500,11772,11600,9763,12692.97277,20184.78082,42866.54907,57885.79483,73304.97959,86536.84981,109729.3112,107244.4053,100410.1104,,,,77.61368265,83.69441128,85.73149829,87.86211061,87.5863958,84.38911836,89.27989313,98.26130755,113.7602935,120.2581411,125.4934032,129.2388272,134.6939392,134.1627771,132.6417078,,,,8.809862805,9.148464968,9.259130536,9.373479109,9.358760377,9.186355009,,,,,,,9.351318965,9.312264992,9.033603193,9279.264132,15476.02251,33649.67516,48110.15014,61762.14018,73055.22305,93377.24134,90924.65801,84433.08379
25,82,Syktyvkar,Komi ASSR,Severno-Zapadny,1,1,,7.0,61.68,50.81,"3804,4224","2581,6561","3133,9608",4464,4980,24302,64461,125000,171000,234529,232086,250874,8425.678681,14862.55007,32761.50195,51352.83462,66208.52541,78242.51844,103004.069,100861.9449,92631.72131,70.62386291,72.47432174,101.9759442,122.6293935,137.735316,145.1884943,152.901498,152.6426465,154.572181,81.7042316,92.28676183,108.0978041,117.6460289,123.2225326,126.9580997,133.229855,132.7451461,130.7909459,8.403800504,8.51318517,10.09831393,11.07381567,11.73606902,12.04941884,12.36533453,12.35486327,12.4327061,,,,8.809862805,9.148464968,9.259130536,9.373479109,9.358760377,9.186355009,12692.97277,20184.78082,42866.54907,57885.79483,73304.97959,86536.84981,109729.3112,107244.4053,100410.1104
